time_data,pc_data,lep_data,rep_data
0,-1.013,0,0
0.01,-1.013,0,0
0.02,-1.013,0,0
0.03,-1.013,-5.56042632585002e-05,-5.27867096703772e-05
0.04,-1.013,-0.000314676645339899,-0.000380154807486302
0.05,-1.013,-0.000974116009994402,-0.00134098150943426
0.06,-1.013,-0.00224746194461436,-0.00324589009040134
0.07,-1.013,-0.0042977365804139,-0.00621159715543418
0.08,-1.013,-0.00719542329350979,-0.0102001752309003
0.09,-1.013,-0.0110044002826085,-0.0152071504877279
0.1,-1.013,-0.0158797116139069,-0.0213554766503624
0.11,-1.013,-0.0220365021493136,-0.0288476190112122
0.12,-1.013,-0.0295895671006917,-0.0377622737231878
0.13,-1.013,-0.0384956306296668,-0.0479767753216291
0.14,-1.013,-0.0486994680757968,-0.0593140549110332
0.15,-1.013,-0.0601616214522578,-0.0717123601963421
0.16,-1.013,-0.0729170539805267,-0.0853074671587223
0.17,-1.013,-0.0870089292583758,-0.100345818393379
0.18,-1.013,-0.102360062845311,-0.116966857126166
0.19,-1.013,-0.11881786904664,-0.135027055272663
0.2,-1.013,-0.136335156604348,-0.154171298627312
0.21,-1.013,-0.155082143039995,-0.174131481103042
0.22,-1.013,-0.175201076566569,-0.194916945509309
0.23,-1.013,-0.196553382246338,-0.216732310422346
0.24,-1.013,-0.218927464630123,-0.239624444149823
0.25,-1.013,-0.242184909331084,-0.263466368497505
0.26,-1.013,-0.266181269866432,-0.288050504020984
0.27,-1.013,-0.290846634962662,-0.313262263991263
0.28,-1.013,-0.316267761102057,-0.339043209630476
0.29,-1.013,-0.342419989022828,-0.365320431862186
0.3,-1.013,-0.369138854719409,-0.391999222500682
0.31,-1.013,-0.396217427305062,-0.419076770202288
0.32,-1.013,-0.42349239832882,-0.44650750059187
0.33,-1.013,-0.450904770892182,-0.474069884917154
0.34,-1.013,-0.478522821665738,-0.501523008884623
0.35,-1.013,-0.506330456023469,-0.528723605905673
0.36,-1.013,-0.534108791072209,-0.555674982391249
0.37,-1.013,-0.561717339236101,-0.582552473199758
0.38,-1.013,-0.589198058783641,-0.609375286094004
0.39,-1.013,-0.616502964234821,-0.635917728674546
0.4,-1.013,-0.643388711687976,-0.66198579150878
0.41,-1.013,-0.669716119792651,-0.687591379632696
0.42,-1.013,-0.695543328756859,-0.712847198906871
0.43,-1.013,-0.720948243656171,-0.737800616503563
0.44,-1.013,-0.745872044797673,-0.762317095984513
0.45,-1.013,-0.770086638041881,-0.786178987501654
0.46,-1.013,-0.793404460719739,-0.809081457860764
0.47,-1.013,-0.815826381297723,-0.830860324022412
0.48,-1.013,-0.837464481559109,-0.851604540007396
0.49,-1.013,-0.858409831136949,-0.871608442016387
