time_data,pc_data,lep_data,rep_data
0,-1.03,0,0
0.01,-1.03,0,0
0.02,-1.03,0,0
0.03,-1.03,-5.65080395496248e-05,-5.36902830295688e-05
0.04,-1.03,-0.000320705917128166,-0.000386175441253339
0.05,-1.03,-0.000994786271295047,-0.00136163098986661
0.06,-1.03,-0.0022970494613465,-0.00329546127419027
0.07,-1.03,-0.00439274711556418,-0.00630653321273109
0.08,-1.03,-0.00735232686168847,-0.0103569506917531
0.09,-1.03,-0.0112393928678749,-0.0154422126677542
0.1,-1.03,-0.0162101794840348,-0.0216865443600057
0.11,-1.03,-0.0224826100349823,-0.0292947003374223
0.12,-1.03,-0.0301742848241164,-0.038347225267092
0.13,-1.03,-0.0392425747622881,-0.0487228066374097
0.14,-1.03,-0.0496312195888969,-0.0602444491280007
0.15,-1.03,-0.0612991173564494,-0.0728488639020418
0.16,-1.03,-0.0742811201604988,-0.0866708193548251
0.17,-1.03,-0.0886215296362916,-0.101957236796249
0.18,-1.03,-0.104243988585221,-0.118848539610218
0.19,-1.03,-0.12099501061833,-0.137201272278353
0.2,-1.03,-0.138824553302654,-0.156658496351571
0.21,-1.03,-0.157901107292058,-0.176949951477553
0.22,-1.03,-0.178367573267969,-0.198084134807367
0.23,-1.03,-0.200085828188081,-0.220265560753247
0.24,-1.03,-0.222843761019323,-0.243539475544222
0.25,-1.03,-0.246501198999073,-0.267777839917192
0.26,-1.03,-0.270910214635606,-0.292772265821287
0.27,-1.03,-0.295998085383165,-0.318407812594233
0.28,-1.03,-0.321851831450163,-0.344624900460961
0.29,-1.03,-0.34844637880409,-0.371347558693196
0.3,-1.03,-0.375615736180978,-0.39847695122287
0.31,-1.03,-0.403151133072102,-0.426009621578204
0.32,-1.03,-0.430887130506683,-0.453901446770097
0.33,-1.03,-0.458763344973831,-0.481929849798675
0.34,-1.03,-0.486848538475215,-0.50985112893283
0.35,-1.03,-0.515125905441335,-0.537519185304047
0.36,-1.03,-0.543372460316531,-0.564934946380997
0.37,-1.03,-0.571444143362702,-0.59227397558388
0.38,-1.03,-0.599382828963719,-0.619555616080143
0.39,-1.03,-0.627141612963406,-0.646552232052946
0.4,-1.03,-0.65447650418804,-0.673067882848737
0.41,-1.03,-0.681246721548524,-0.699113918172926
0.42,-1.03,-0.707508153691126,-0.724802351455717
0.43,-1.03,-0.733336732990154,-0.750178835607473
0.44,-1.03,-0.758672654827192,-0.775106659033324
0.45,-1.03,-0.783286708767477,-0.799367923083888
0.46,-1.03,-0.806990802354633,-0.822657214146787
0.47,-1.03,-0.82978596726035,-0.844809844072324
0.48,-1.03,-0.851784130006071,-0.865913920903994
0.49,-1.03,-0.873076287429077,-0.886263445982348
0.5,-1.03,-0.893562911167861,-0.905996812954958
0.51,-1.03,-0.913035760857772,-0.924975712692306
0.52,-1.03,-0.931382380965231,-0.942945858675507
0.53,-1.03,-0.948588678928405,-0.959747827048062
0.54,-1.03,-0.964737904741486,-0.975452687486695
0.55,-1.03,-0.980010364059781,-0.990293310952702
0.56,-1.03,-0.994475330468034,-1.00433281354844
0.57,-1.03,-1.00801289008714,-1.0173774089874
0.58,-1.03,-1.02050953447356,-1.02926140602941
0.59,-1.03,-1.03190676695885,-1.04003672822585
0.6,-1.03,-1.04228616967701,-1.04986001378787
0.61,-1.03,-1.05185865377035,-1.05880946873361
0.62,-1.03,-1.06080414477725,-1.06688091142362
0.63,-1.03,-1.06902748145605,-1.07399197669992
0.64,-1.03,-1.07623379010992,-1.08009305057568
0.65,-1.03,-1.08235715249733,-1.08526751761921
0.66,-1.03,-1.08768928391055,-1.08966553652641
0.67,-1.03,-1.09252110321456,-1.09337238151372
0.68,-1.03,-1.09682628667518,-1.09638582295731
0.69,-1.03,-1.10029589418212,-1.09869404658308
0.7,-1.03,-1.1027169888593,-1.10036146690021
0.71,-1.03,-1.10422847031527,-1.10146170737509
0.72,-1.03,-1.10519161117642,-1.10200076569706
0.73,-1.03,-1.10578823522158,-1.10200190850078
0.74,-1.03,-1.10587435908977,-1.10158311567683
0.75,-1.03,-1.10523767956218,-1.10078489532783
0.76,-1.03,-1.1038615455169,-1.09951373495073
0.77,-1.03,-1.10196891158704,-1.09774299139825
0.78,-1.03,-1.09986501600094,-1.09558383504168
0.79,-1.03,-1.09769375791253,-1.09320696912354
0.8,-1.03,-1.0953129877576,-1.09074545419194
0.81,-1.03,-1.09250895702124,-1.08819059302524
0.82,-1.03,-1.08927287825134,-1.08544561904284
0.83,-1.03,-1.08581201274188,-1.08246285998255
0.84,-1.03,-1.08239087372247,-1.07929352325141
0.85,-1.03,-1.07914387032352,-1.0760592372168
0.86,-1.03,-1.07599883771522,-1.07287293050471
0.87,-1.03,-1.07274424936189,-1.06973982225328
0.88,-1.03,-1.06916256780279,-1.06653961235592
0.89,-1.03,-1.06526719977308,-1.06316481986813
0.9,-1.03,-1.06134823268018,-1.05959471812407
0.91,-1.03,-1.05764258489032,-1.05589053363934
0.92,-1.03,-1.05407516615142,-1.05223091879559
0.93,-1.03,-1.05044207714509,-1.04879731270851
0.94,-1.03,-1.0467102113195,-1.04558715019193
0.95,-1.03,-1.04297294304359,-1.04239417266516
