time_data,pc_data,lep_data,rep_data
1.14,-1.003,-0.974075040303372,-0.977236648702309
1.15,-1.003,-0.973972291419382,-0.97681878694106
1.16,-1.003,-0.974301724050465,-0.976431532830386
1.17,-1.003,-0.974974849659052,-0.976240003871683
1.18,-1.003,-0.975718075776766,-0.976296581767467
1.19,-1.003,-0.976286282684867,-0.976536929527551
1.2,-1.003,-0.976765165462237,-0.976897890653582
1.21,-1.003,-0.977504466157958,-0.977395800315651
1.22,-1.003,-0.978780923256565,-0.978045402591254
1.23,-1.003,-0.980506535941021,-0.978775279519413
1.24,-1.003,-0.982293031589653,-0.979502168556202
1.25,-1.003,-0.983865627003321,-0.980273455036246
1.26,-1.003,-0.98528786535808,-0.981185692984453
1.27,-1.003,-0.986771807674428,-0.982230621745237
1.28,-1.003,-0.988479236827906,-0.983337075269486
1.29,-1.003,-0.99043451308045,-0.984395519802514
1.3,-1.003,-0.992460947882866,-0.985327521814585
1.31,-1.003,-0.994316165880987,-0.986213355995366
1.32,-1.003,-0.995944236800521,-0.987261872077198
1.33,-1.003,-0.99751505655669,-0.988591017628494
1.34,-1.003,-0.999231925557103,-0.990110338812133
1.35,-1.003,-1.00108996967439,-0.991698015984363
1.36,-1.003,-1.00287268168552,-0.993320266820588
1.37,-1.003,-1.00435604074511,-0.99497174799726
1.38,-1.003,-1.00553618194785,-0.996639597491713
1.39,-1.003,-1.00672950962779,-0.998316003811584
1.4,-1.003,-1.00827695843045,-1.00002840967888
1.41,-1.003,-1.01015774107165,-1.00180047887178
1.42,-1.003,-1.01205006913683,-1.00361541466339
1.43,-1.003,-1.01367318109358,-1.00543468445397
1.44,-1.003,-1.01502442171799,-1.00716962759007
1.45,-1.003,-1.016344827739,-1.00875370120758
1.46,-1.003,-1.01785903634656,-1.01026501574039
1.47,-1.003,-1.01954828570807,-1.01184529176154
1.48,-1.003,-1.02117631744897,-1.0134928600359
1.49,-1.003,-1.02253264328468,-1.0150436881476
1.5,-1.003,-1.02362208922525,-1.01635844997999
1.51,-1.003,-1.02461332820332,-1.01747053728557
1.52,-1.003,-1.02566026765852,-1.01854861390149
1.53,-1.003,-1.02676012855422,-1.01976830104687
1.54,-1.003,-1.02776867863497,-1.02114000823404
1.55,-1.003,-1.02858841219377,-1.02245414050949
1.56,-1.003,-1.02924541182989,-1.02353566182477
1.57,-1.003,-1.02984294800147,-1.02441235395257
1.58,-1.003,-1.03049462668144,-1.02518097778751
1.59,-1.003,-1.03119649385737,-1.02586985068915
1.6,-1.003,-1.03183615991678,-1.02650316408819
1.61,-1.003,-1.03227922100626,-1.02715998088812
1.62,-1.003,-1.03246624659833,-1.02787311939138
1.63,-1.003,-1.03248202457812,-1.0285983433474
1.64,-1.003,-1.03243251149642,-1.0292676738773
1.65,-1.003,-1.03233969656627,-1.02987931292463
1.66,-1.003,-1.03216899402215,-1.03049070942095
1.67,-1.003,-1.03187440780628,-1.03110697573014
1.68,-1.003,-1.03146552614027,-1.0316910809224
1.69,-1.003,-1.03101230785718,-1.03220356800165
1.7,-1.003,-1.0305691790601,-1.0325764927326
1.71,-1.003,-1.03013691998055,-1.03278471301829
1.72,-1.003,-1.02968780642343,-1.0329365789591
1.73,-1.003,-1.02922811853675,-1.03314781867208
1.74,-1.003,-1.02874669655278,-1.03336898743266
1.75,-1.003,-1.0281233298477,-1.03339421115884
1.76,-1.003,-1.02724614260102,-1.03307607078366
1.77,-1.003,-1.02618734649073,-1.03252039776447
1.78,-1.003,-1.02516390174764,-1.03196142011952
1.79,-1.003,-1.02433123814599,-1.03153478881643
1.8,-1.003,-1.02366438087464,-1.03121165557554
1.81,-1.003,-1.02298580878553,-1.03086829382789
1.82,-1.003,-1.02212214352682,-1.03042472113131
1.83,-1.003,-1.02109743435958,-1.02989030400845
1.84,-1.003,-1.02009784488813,-1.0292953371405
1.85,-1.003,-1.0192271044172,-1.02864260845718
1.86,-1.003,-1.01838346018688,-1.02794415684494
1.87,-1.003,-1.01739437063962,-1.02727820941163
1.88,-1.003,-1.01629227175772,-1.02674734460679
1.89,-1.003,-1.01532095152967,-1.02635740296257
1.9,-1.003,-1.01467989672694,-1.02597443251297
1.91,-1.003,-1.01431767224965,-1.02542791031516
1.92,-1.003,-1.0139725976046,-1.02465893445314
1.93,-1.003,-1.01343104003702,-1.02377425060915
1.94,-1.003,-1.01263578956772,-1.02295112022178
1.95,-1.003,-1.01174263659816,-1.02228029249175
1.96,-1.003,-1.01104791334112,-1.02169149829236
1.97,-1.003,-1.01066177646628,-1.02101927295831
1.98,-1.003,-1.01038206099125,-1.02016502588096
1.99,-1.003,-1.00993826794959,-1.01923754019197
2,-1.003,-1.00932674513064,-1.01846545495676
2.01,-1.003,-1.00879527472709,-1.01800343195945
2.02,-1.003,-1.00855651294771,-1.01781347899892
2.03,-1.003,-1.008573218712,-1.01764894499988
2.04,-1.003,-1.00858579754133,-1.01726438536962
2.05,-1.003,-1.00843239354904,-1.01664593777981
2.06,-1.003,-1.00820884126943,-1.01600307438217
2.07,-1.003,-1.00808292955375,-1.01554608391941
2.08,-1.003,-1.00811015167798,-1.01526076723264
2.09,-1.003,-1.00820224629447,-1.01496209105225
2.1,-1.003,-1.00822771607653,-1.01452590777196
2.11,-1.003,-1.0081605118635,-1.01403083811854
2.12,-1.003,-1.00807961843265,-1.0136495445263
2.13,-1.003,-1.00805541497984,-1.01339771401759
2.14,-1.003,-1.00816801003739,-1.01312754514942
2.15,-1.003,-1.00850192059978,-1.01272333849166
2.16,-1.003,-1.00894046387984,-1.01224962281561
2.17,-1.003,-1.00919906232054,-1.01192157621836
2.18,-1.003,-1.00920288496679,-1.01187156857415
2.19,-1.003,-1.00918875789339,-1.01197892482558
2.2,-1.003,-1.00936942069952,-1.01197748419826
2.21,-1.003,-1.00973184208463,-1.01179684273422
2.22,-1.003,-1.01014405699283,-1.01169559464644
2.23,-1.003,-1.01051459443687,-1.01194436076012
2.24,-1.003,-1.01082300054909,-1.01255477536374
2.25,-1.003,-1.01105590892875,-1.01328330133056
2.26,-1.003,-1.01125730494867,-1.01377484048622
2.27,-1.003,-1.01154896544297,-1.01383841970812
2.28,-1.003,-1.01196252201686,-1.01365792084534
2.29,-1.003,-1.0123705210507,-1.01364715296267
2.3,-1.003,-1.01264699894151,-1.01404785762757
2.31,-1.003,-1.01280603824504,-1.01467433168622
2.32,-1.003,-1.01300215887797,-1.01511155934983
2.33,-1.003,-1.01337982397015,-1.01514156797119
2.34,-1.003,-1.01391287154334,-1.01491702949738
2.35,-1.003,-1.01441594539408,-1.01478626126398
