time_data,pc_data,lep_data,rep_data
0,-1.093,0,0
0.01,-1.093,0,0
0.02,-1.093,0,0
0.03,-1.093,-5.98573294772388e-05,-5.70388209156739e-05
0.04,-1.093,-0.000343049719527547,-0.000408487232112538
0.05,-1.093,-0.00107138805487016,-0.00143815576169719
0.06,-1.093,-0.00248081590433114,-0.00347916718929612
0.07,-1.093,-0.00474484766156248,-0.00665835775113226
0.08,-1.093,-0.00793379897531556,-0.0109379480476823
0.09,-1.093,-0.0121102589688202,-0.0163133366829425
0.1,-1.093,-0.0174348738489451,-0.022913461726131
0.11,-1.093,-0.0241358651460092,-0.0309515630561777
0.12,-1.093,-0.0323412307411528,-0.0405150377350147
0.13,-1.093,-0.0420107404306928,-0.051487589184717
0.14,-1.093,-0.0530842974722315,-0.0636924964841694
0.15,-1.093,-0.0655147084865923,-0.07706077784853
0.16,-1.093,-0.0793364155563961,-0.0917234691974102
0.17,-1.093,-0.0945979413585423,-0.107929268717147
0.18,-1.093,-0.111225998754065,-0.125822236186198
0.19,-1.093,-0.129063766536716,-0.145259188759078
0.2,-1.093,-0.148050636584863,-0.165876429277709
0.21,-1.093,-0.168348699623837,-0.187395713937707
0.22,-1.093,-0.190103276683315,-0.209822406799298
0.23,-1.093,-0.213177924564371,-0.233360639685364
0.24,-1.093,-0.237358625887395,-0.258049651506599
0.25,-1.093,-0.262498692100796,-0.283757472723913
0.26,-1.093,-0.288437292321151,-0.31027271840056
0.27,-1.093,-0.315091282334767,-0.337479135293285
0.28,-1.093,-0.34254866092631,-0.365312914923779
0.29,-1.093,-0.370782821919979,-0.39368674008056
0.3,-1.093,-0.399622116541672,-0.422486475251988
0.31,-1.093,-0.428850953130478,-0.451706271155414
0.32,-1.093,-0.45829598981655,-0.481307383973404
0.33,-1.093,-0.487891698546463,-0.511063352229579
0.34,-1.093,-0.517708639237392,-0.540720139760769
0.35,-1.093,-0.547727373962623,-0.57012114351897
0.36,-1.093,-0.57770971106091,-0.599258467818317
0.37,-1.093,-0.607498343400442,-0.628308520604861
0.38,-1.093,-0.637134824495182,-0.657291147918092
0.39,-1.093,-0.666576253791009,-0.685971509989871
0.4,-1.093,-0.695576242002744,-0.71414650057406
0.41,-1.093,-0.723988077161982,-0.7418254001083
0.42,-1.093,-0.751859295574117,-0.769117648727496
0.43,-1.093,-0.779258508006691,-0.796062544485399
0.44,-1.093,-0.806122252171505,-0.822515313808931
0.45,-1.093,-0.832217179240711,-0.848257131471137
0.46,-1.093,-0.857353233593368,-0.872980426255576
0.47,-1.093,-0.881532048620696,-0.896518630482288
0.48,-1.093,-0.904864967968213,-0.918956711302494
0.49,-1.093,-0.927442708994593,-0.94058742552993
0.5,-1.093,-0.949160848153891,-0.961545828571262
0.51,-1.093,-0.969804078120253,-0.981691409622637
0.52,-1.093,-0.989259102848805,-1.00077102299352
0.53,-1.093,-1.00751326472907,-1.0186252417917
0.54,-1.093,-1.02464915529703,-1.03532134205553
0.55,-1.093,-1.04084722556021,-1.05109034917202
0.56,-1.093,-1.05617813820848,-1.06599721521739
