time_data,pc_data,lep_data,rep_data
0,-1.089,0,0
0.01,-1.089,0,0
0.02,-1.089,0,0
0.03,-1.089,-5.96446760867233e-05,-5.68262152738088e-05
0.04,-1.089,-0.000341631063979798,-0.00040707060904586
0.05,-1.089,-0.00106652443893486,-0.00143329703541011
0.06,-1.089,-0.00246914814965867,-0.00346750327765949
0.07,-1.089,-0.0047224919458266,-0.00663601955975544
0.08,-1.089,-0.00789687983238139,-0.0109010590484227
0.09,-1.089,-0.0120549653573698,-0.0162580266957856
0.1,-1.089,-0.017357114572037,-0.0228355613031727
0.11,-1.089,-0.024030895079855,-0.0308463639284653
0.12,-1.089,-0.0322036444934717,-0.0403773964663707
0.13,-1.089,-0.0418349802002555,-0.0513120437710385
0.14,-1.089,-0.0528650489816431,-0.0634735674177646
0.15,-1.089,-0.0652470441741984,-0.0767933470180784
0.16,-1.089,-0.079015433808504,-0.0914026554030369
0.17,-1.089,-0.0942184723898173,-0.107550077809544
0.18,-1.089,-0.110782677648752,-0.125379442944466
0.19,-1.089,-0.128551439970657,-0.144747550474045
0.2,-1.089,-0.147464822051116,-0.165291132283885
0.21,-1.089,-0.167685320976999,-0.186732451455377
0.22,-1.089,-0.189358103993767,-0.209077070936772
0.23,-1.089,-0.212346621003526,-0.232529146681686
0.24,-1.089,-0.236436975460921,-0.257128298834494
0.25,-1.089,-0.261482892489702,-0.282742807307461
0.26,-1.089,-0.287324360618461,-0.309161477455676
0.27,-1.089,-0.313878897487103,-0.336268139418701
0.28,-1.089,-0.341234439690498,-0.363999253221482
0.29,-1.089,-0.369364478099974,-0.392268222081084
0.3,-1.089,-0.398097723039213,-0.420961881972588
0.31,-1.089,-0.427219016110995,-0.450074535633469
0.32,-1.089,-0.456555517565571,-0.479567097687952
0.33,-1.089,-0.486042026264556,-0.509213353283509
0.34,-1.089,-0.515748988002911,-0.538759922622939
0.35,-1.089,-0.545657131879156,-0.568050869968886
0.36,-1.089,-0.575529231798288,-0.597078860167149
0.37,-1.089,-0.605208822172266,-0.626020247660104
0.38,-1.089,-0.63473747735652,-0.654894846508386
0.39,-1.089,-0.664072042771506,-0.683468274425432
0.4,-1.089,-0.69296628136489,-0.711537880531615
0.41,-1.089,-0.721273857845967,-0.739113077175045
0.42,-1.089,-0.749042839216989,-0.766303468213239
0.43,-1.089,-0.77634230162516,-0.793148755276791
0.44,-1.089,-0.80310901537398,-0.819504676715866
0.45,-1.089,-0.829109894462763,-0.84515246634688
0.46,-1.089,-0.854155007908147,-0.869784690255397
0.47,-1.089,-0.878245951041967,-0.893234900455294
0.48,-1.089,-0.901494104868708,-0.915588263791307
0.49,-1.089,-0.923990204946505,-0.937137616262118
0.5,-1.089,-0.945630138801143,-0.958018225276106
0.51,-1.089,-0.966199047827717,-0.978089719917147
0.52,-1.089,-0.985583689327995,-0.997098882278706
0.53,-1.089,-1.00377131456994,-1.01488628585482
0.54,-1.089,-1.02084455694863,-1.03151944760857
0.55,-1.089,-1.0369838584596,-1.04722951014517
0.56,-1.089,-1.05225979384024,-1.06208130902264
0.57,-1.089,-1.06655298736483,-1.07588283966886
0.58,-1.089,-1.07975018729458,-1.08846802727575
0.59,-1.089,-1.09179068149591,-1.09988786973453
0.6,-1.089,-1.10275538423604,-1.11029925961555
0.61,-1.089,-1.11285748735809,-1.11978134801765
0.62,-1.089,-1.12228069749619,-1.1283324109866
0.63,-1.089,-1.13093069855708,-1.13587144190392
0.64,-1.089,-1.13851175771532,-1.14234957655651
0.65,-1.089,-1.14495874414944,-1.14785038479305
0.66,-1.089,-1.1505662857017,-1.15252534704652
0.67,-1.089,-1.15562834108333,-1.1564625332907
0.68,-1.089,-1.16012099918297,-1.15966331044879
0.69,-1.089,-1.16373600884663,-1.16211817299625
0.7,-1.089,-1.16626120103009,-1.16389239416808
0.71,-1.089,-1.1678375007677,-1.16506040142009
0.72,-1.089,-1.16882944477981,-1.16563044754871
0.73,-1.089,-1.1694223761243,-1.16562892450181
0.74,-1.089,-1.16947470551255,-1.16517690812457
0.75,-1.089,-1.16877538202444,-1.16431722457218
0.76,-1.089,-1.16730901844755,-1.1629578872045
0.77,-1.089,-1.16530083775145,-1.1610738023801
0.78,-1.089,-1.16305927086423,-1.15877850610955
0.79,-1.089,-1.16073115735279,-1.15624594280236
0.8,-1.089,-1.15817647964505,-1.15361200290743
0.81,-1.089,-1.15518338606714,-1.15086963734076
0.82,-1.089,-1.15174473500451,-1.14792339502236
0.83,-1.089,-1.14806926006747,-1.14472704267411
0.84,-1.089,-1.14442408023725,-1.14133393110283
0.85,-1.089,-1.14094641101714,-1.13786845272481
0.86,-1.089,-1.13756590753366,-1.13444663128008
0.87,-1.089,-1.13407228812396,-1.13107572609859
0.88,-1.089,-1.13024887065663,-1.12763560320726
0.89,-1.089,-1.12611059919364,-1.12401938585531
0.9,-1.089,-1.12194995028687,-1.1202081093806
0.91,-1.089,-1.11800595366027,-1.11626497028229
0.92,-1.089,-1.11420485928295,-1.11237045676952
0.93,-1.089,-1.11034301221799,-1.10870751542294
0.94,-1.089,-1.10638788980606,-1.10527476539614
0.95,-1.089,-1.10243342422454,-1.10186611572722
0.96,-1.089,-1.09855270449719,-1.09828486678311
0.97,-1.089,-1.09476011564888,-1.0945667776878
0.98,-1.089,-1.09104805431301,-1.09092572467491
0.99,-1.089,-1.08744394938857,-1.08755398603433
1,-1.089,-1.08401163002343,-1.08448538957436
1.01,-1.089,-1.08078180264658,-1.08159878075026
1.02,-1.089,-1.07778181809835,-1.0787624006192
1.03,-1.089,-1.07501019186192,-1.07596974847143
1.04,-1.089,-1.07241589483673,-1.07333252731317
1.05,-1.089,-1.0699634010111,-1.07102918751429
1.06,-1.089,-1.06765300109019,-1.06917059556923
1.07,-1.089,-1.06549464438923,-1.06763525444893
1.08,-1.089,-1.06354087526517,-1.0661749402906
1.09,-1.089,-1.06190415742892,-1.06467448645259
1.1,-1.089,-1.06064520210509,-1.06326518607144
1.11,-1.089,-1.05968795696182,-1.06219953333225
1.12,-1.089,-1.05889790017844,-1.06158355566536
1.13,-1.089,-1.05822023101924,-1.06125022482788
1.14,-1.089,-1.05775420751269,-1.06092742610658
1.15,-1.089,-1.05766244293214,-1.06051918007603
1.16,-1.089,-1.05801784968971,-1.06015678929592
1.17,-1.089,-1.05873093477185,-1.06000412470343
1.18,-1.089,-1.0595268369203,-1.06011196980463
1.19,-1.089,-1.06015939683605,-1.06041494987882
1.2,-1.089,-1.0607136321384,-1.06084951639758
1.21,-1.089,-1.06153877399358,-1.06143202486591
1.22,-1.089,-1.06291097104655,-1.06217673995523
1.23,-1.089,-1.06474149260243,-1.06301098506837
1.24,-1.089,-1.06664095672928,-1.06384977509444
1.25,-1.089,-1.06833346778138,-1.064739135138
1.26,-1.089,-1.06988150181678,-1.06577512980054
1.27,-1.089,-1.07149617514033,-1.06694946676497
1.28,-1.089,-1.07333870196605,-1.06819088589909
1.29,-1.089,-1.07543310388776,-1.06938858263467
1.3,-1.089,-1.0776019227911,-1.07046225975034
1.31,-1.089,-1.07960168862888,-1.07149106900572
1.32,-1.089,-1.08137580396773,-1.07268363598669
1.33,-1.089,-1.08309308983515,-1.07415776054171
1.34,-1.089,-1.08495612543205,-1.07582299881411
1.35,-1.089,-1.08695965641798,-1.07755703948546
1.36,-1.089,-1.08888669067412,-1.07932462501606
1.37,-1.089,-1.09051243734292,-1.08111872194438
1.38,-1.089,-1.09183206579772,-1.08292555407852
1.39,-1.089,-1.09316150881459,-1.08473765478429
1.4,-1.089,-1.09484190724278,-1.08658321844075
1.41,-1.089,-1.09685232053826,-1.08848598389184
1.42,-1.089,-1.09887028569211,-1.09042784785773
1.43,-1.089,-1.10061429652109,-1.09236861214312
1.44,-1.089,-1.10208102743473,-1.09421862563671
1.45,-1.089,-1.10351138350117,-1.09591163325245
1.46,-1.089,-1.10513041739137,-1.09752699118275
1.47,-1.089,-1.10691928954484,-1.09920714211566
