day_time,day
visibility,clear
ped_type,adult
ego_speed,7.750000000000031
first_sight_dist,7.496084106445313
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.002593994140625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00250244140625, -0.002532958984375, -0.00244140625, -0.002349853515625, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.00238037109375, -0.002471923828125, -0.00238037109375, -0.00225830078125, -0.002166748046875, -0.0020751953125, -0.001983642578125, -0.00189208984375, -0.00177001953125, -0.001678466796875, -0.001556396484375, -0.00146484375, -0.001373291015625, -0.00128173828125, -0.001190185546875, -0.001068115234375, -0.0009765625, -0.000885009765625, -0.00079345703125, -0.000701904296875, -0.000579833984375, -0.00048828125, -0.000396728515625, -0.00030517578125, -0.000213623046875, -9.1552734375e-05, 0.0, 9.1552734375e-05, 0.00018310546875, 0.000274658203125, 0.000396728515625, 0.00048828125, 0.000579833984375, 0.00067138671875, 0.000762939453125, 0.000885009765625, 0.0009765625, 0.001068115234375, 0.00115966796875, 0.001251220703125, 0.001373291015625, 0.00146484375, 0.001556396484375, 0.00164794921875, 0.001739501953125, 0.001861572265625, 0.001953125, 0.002044677734375, 0.00213623046875, 0.002227783203125, 0.002349853515625, 0.00244140625, 0.002532958984375, 0.00262451171875, 0.002716064453125, 0.002838134765625, 0.0029296875, 0.003021240234375, 0.00311279296875, 0.003204345703125, 0.003326416015625, 0.00341796875, 0.003509521484375, 0.00360107421875, 0.003692626953125, 0.003814697265625, 0.00390625, 0.003997802734375, 0.00408935546875, 0.004180908203125, 0.004150390625, 0.004180908203125, 0.004241943359375, 0.004364013671875, 0.00445556640625, 0.004608154296875, 0.00469970703125, 0.004730224609375, 0.004730224609375, 0.004730224609375, 0.004730224609375, 0.004730224609375, 0.004730224609375, 0.004730224609375, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125, 0.00469970703125]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20243835449219, -45.85221862792969, -45.481414794921875, -45.097198486328125, -44.70866394042969, -44.3193359375, -43.92909240722656, -43.53825378417969, -43.146759033203125, -42.75537109375, -42.36421203613281, -41.9736328125, -41.58345031738281, -41.193939208984375, -40.804779052734375, -40.416229248046875, -40.02790832519531, -39.64007568359375, -39.25233459472656, -38.864959716796875, -38.47760009765625, -38.09043884277344, -37.70320129394531, -37.31610107421875, -36.928863525390625, -36.541778564453125, -36.154510498046875, -35.76731872558594, -35.379974365234375, -34.99281311035156, -34.605560302734375, -34.21855163574219, -33.8314208984375, -33.44444274902344, -33.057342529296875, -32.67033386230469, -32.283172607421875, -31.896087646484375, -31.508865356445312, -31.12176513671875, -30.734542846679688, -30.34747314453125, -29.960311889648438, -29.5732421875, -29.186111450195312, -28.799118041992188, -28.4119873046875, -28.024993896484375, -27.637863159179688, -27.250869750976562, -26.863739013671875, -26.47674560546875, -26.089630126953125, -25.70263671875, -25.315505981445312, -24.928512573242188, -24.5413818359375, -24.154388427734375, -23.767257690429688, -23.380264282226562, -22.993133544921875, -22.60614013671875, -22.219024658203125, -21.83203125, -21.444900512695312, -21.057907104492188, -20.6707763671875, -20.283782958984375, -19.896652221679688, -19.509658813476562, -19.122528076171875, -18.73553466796875, -18.348419189453125, -17.96142578125, -17.574295043945312, -17.187301635742188, -16.8001708984375, -16.413177490234375, -16.026046752929688, -15.639053344726562, -15.251922607421875, -14.86492919921875, -14.477813720703125, -14.0908203125, -13.703689575195312, -13.316696166992188, -12.9295654296875, -12.542572021484375, -12.155441284179688, -11.768447875976562, -11.381317138671875, -10.994338989257812, -10.607208251953125, -10.22021484375, -9.833084106445312, -9.446701049804688, -9.064483642578125, -8.690704345703125, -8.328094482421875, -7.9788360595703125, -7.6432037353515625, -7.322021484375, -7.050445556640625, -6.8480072021484375, -6.714935302734375, -6.65081787109375, -6.6443328857421875, -6.643707275390625, -6.642852783203125, -6.64208984375, -6.64141845703125, -6.6409759521484375, -6.64056396484375, -6.640289306640625, -6.640106201171875, -6.6399688720703125, -6.6398162841796875, -6.63970947265625, -6.639617919921875, -6.63958740234375, -6.6395416259765625, -6.6395111083984375, -6.6394805908203125, -6.63946533203125, -6.6394500732421875, -6.639434814453125, -6.639404296875, -6.639404296875, -6.639404296875, -6.639404296875, -6.639404296875, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375, -6.6393890380859375]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004422915168106556, 0.0037203331012278795, 0.003011508611962199, 0.002187605481594801, 0.0013797158608213067, 0.0027690615970641375, 0.0018958122236654162, 0.0012440569698810577, 0.0009571408736519516, 0.000770946207921952, 0.0006237656925804913, 0.0005179406725801528, 0.00042886531446129084, 0.0003874730318784714, 0.00034595452598296106, 0.0003340555995237082, 0.0003107225347775966, 0.00030662716017104685, 0.00030200122273527086, 0.0002906403678935021, 0.000288492941763252, 0.0002943802683148533, 0.001107256393879652, 0.0022421181201934814, 0.0017325634835287929, 0.00114014174323529, 0.0007757855928502977, 0.0006158236647024751, 0.0005126107134856284, 0.0010138865327462554, 0.0027263923548161983, 0.0027268112171441317, 0.0020536098163574934, 0.0016525808023288846, 0.001403640490025282, 0.0012742269318550825, 0.001201005419716239, 0.0011793513549491763, 0.001158505561761558, 0.0011646900093182921, 0.0011394149623811245, 0.0011397701455280185, 0.0011513734934851527, 0.0011676026042550802, 0.0011551196221262217, 0.0011638777796179056, 0.0011569892521947622, 0.0011660768650472164, 0.0011601551668718457, 0.0011674663983285427, 0.0011602245504036546, 0.001168553833849728, 0.0011597006814554334, 0.0011730908881872892, 0.001160681014880538, 0.001168801449239254, 0.00116647535469383, 0.001165330526418984, 0.001163144363090396, 0.0011731628328561783, 0.0011628431966528296, 0.0011691065737977624, 0.0011606024345383048, 0.001173784607090056, 0.0011630784720182419, 0.0011702879564836621, 0.0011618727585300803, 0.0011702438350766897, 0.0011632970999926329, 0.0011698744492605329, 0.001161040156148374, 0.0011691090185195208, 0.001163071719929576, 0.0011700262548401952, 0.0011617721756920218, 0.0011705930810421705, 0.0011615474941208959, 0.001169008668512106, 0.0011626658961176872, 0.0011690354440361261, 0.0011606405023485422, 0.0011742869392037392, 0.0011616734554991126, 0.001170083531178534, 0.0011613647220656276, 0.0011694745626300573, 0.0011609970824792981, 0.001173732802271843, 0.0011613334063440561, 0.0011701375478878617, 0.0011615167604759336, 0.001169926137663424, 0.001161125604994595, 0.001173922442831099, 0.0011609804350882769, 0.0011808390263468027, 0.0012155210133641958, 0.001194565324112773, 0.00117740617133677, 0.0024280929937958717, 0.0033303871750831604, 0.0038213320076465607, 0.004141369368880987, 0.004033317323774099, 0.00349153159186244, 0.0020255211275070906, 0.00043666097917594016, 0.00047472730511799455, 0.00044243622687645257, 0.0004116106720175594, 0.0003854453971143812, 0.00036346539855003357, 0.0003400853893253952, 0.00032230958458967507, 0.0003061775933019817, 2.5496910893707536e-05, 2.075098382192664e-05, 1.8258317140862346e-05, 1.633450301596895e-05, 1.1138655281683896e-05, 1.3550407857110258e-05, 1.3619958735944238e-05, 1.2949331903655548e-05, 1.2320354471739847e-05, 1.2289341611904092e-05, 1.17444988063653e-05, 1.1635459486569744e-05, 1.1309944056847598e-05, 1.174066164821852e-05, 1.1608116437855642e-05, 1.1127870493510272e-05, 1.1575408279895782e-05, 1.1219922271266114e-05, 1.1262763109698426e-05, 1.068877008947311e-05, 1.1246111171203665e-05, 1.0466817911947146e-05, 1.1308174180157948e-05, 1.1072009328927379e-05, 1.1399537470424548e-05, 1.0784175174194388e-05, 1.0316912266716827e-05, 1.1115353117929772e-05, 1.1048708074667957e-05, 0.0, 1.1218990948691498e-05, 1.0923537956841756e-05, 1.0937023944279645e-05, 1.0733064300438855e-05, 1.0980311344610527e-05, 1.0810885214596055e-05, 1.0946411748591345e-05, 1.075867567124078e-05, 1.071430688170949e-05, 1.1022556464013178e-05, 1.1132861800433602e-05, 1.0727327207860071e-05, 1.1025462299585342e-05, 1.1157244443893433e-05, 1.078860805137083e-05, 1.070441612682771e-05, 8.96837536856765e-06, 1.088405042537488e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.6818718910217285, 7.187448024749756, 7.546445369720459, 7.755617618560791, 7.8007025718688965, 7.802860736846924, 7.8324480056762695, 7.829018592834473, 7.84070348739624, 7.823360443115234, 7.8272318840026855, 7.803990364074707, 7.805812358856201, 7.782071590423584, 7.7851996421813965, 7.763232231140137, 7.769015312194824, 7.749551773071289, 7.758153915405273, 7.7410783767700195, 7.752045631408691, 7.736849784851074, 7.748533725738525, 7.734560966491699, 7.746652126312256, 7.733120441436768, 7.747127532958984, 7.7340989112854, 7.748407363891602, 7.7343621253967285, 7.748516082763672, 7.734013080596924, 7.748029708862305, 7.734711170196533, 7.748681545257568, 7.735342025756836, 7.7491350173950195, 7.735622882843018, 7.749270439147949, 7.735634803771973, 7.749198913574219, 7.735509872436523, 7.749050140380859, 7.735347747802734, 7.748894691467285, 7.73520040512085, 7.748770713806152, 7.735095500946045, 7.748685836791992, 7.7350287437438965, 7.748636722564697, 7.734996795654297, 7.748620986938477, 7.734990119934082, 7.748620986938477, 7.734997272491455, 7.748631954193115, 7.735008239746094, 7.748645305633545, 7.735026836395264, 7.748660087585449, 7.735035419464111, 7.748668670654297, 7.735040187835693, 7.748669147491455, 7.735040187835693, 7.748671054840088, 7.735040664672852, 7.748671531677246, 7.735044479370117, 7.748673439025879, 7.735047340393066, 7.748673439025879, 7.735043048858643, 7.748671531677246, 7.735044002532959, 7.748673439025879, 7.735044956207275, 7.7486724853515625, 7.735044479370117, 7.748673439025879, 7.735042572021484, 7.748673915863037, 7.735044956207275, 7.748671531677246, 7.73504114151001, 7.7486724853515625, 7.735038757324219, 7.74867057800293, 7.735044002532959, 7.748673439025879, 7.735045433044434, 7.748673915863037, 7.735042572021484, 7.7486724853515625, 7.703409671783447, 7.597585678100586, 7.393172264099121, 7.159883975982666, 6.870771408081055, 6.616983413696289, 6.291482925415039, 4.897630214691162, 3.517644166946411, 2.1329143047332764, 0.7531248927116394, -0.0011336269089952111, -0.005333668552339077, -0.005657977890223265, -0.0048642694018781185, -0.0038745186757296324, -0.002980588935315609, -0.0022527105174958706, -0.0016868062084540725, -0.0012567010708153248, -0.0009340786491520703, -0.0006930322269909084, -0.0005142409936524928, -0.00038176117232069373, -0.00010871593258343637, -0.00018590758554637432, -0.000178027999936603, -0.0001472778822062537, -0.0001155036297859624, -8.880745735950768e-05, -6.767675222363323e-05, -5.155253893462941e-05, -3.9425864088116214e-05, -2.3071299438015558e-05, -2.4656037567183375e-05, -2.1970774469082244e-05, -1.8377546439296566e-05, -1.5243776033457834e-05, -1.2433771189535037e-05, -1.0596401807561051e-05, -9.24738105823053e-06, -6.357766324072145e-06, -7.076505426084623e-06, -6.8912281676603016e-06, -6.437767297029495e-06, -6.126649623183766e-06, -5.795005563413724e-06, -5.535539003176382e-06, -5.3898429541732185e-06, 0.0, -5.03485989611363e-06, -5.043670626037056e-06, -5.1462275223457254e-06, -5.044899808126502e-06, -4.9245168156630825e-06, -4.811696726392256e-06, -4.902314231003402e-06, -4.8889219215197954e-06, -4.909858034807257e-06, -4.875790182268247e-06, -4.915315457765246e-06, -4.945024556946009e-06, -4.884228019363945e-06, -4.848260232392931e-06, -4.972945589543087e-06, -4.833396360481856e-06, -4.6373716031666845e-06, -4.834718765778234e-06]"
