day_time,night
visibility,fog
ped_type,adult
ego_speed,10.63888888888896
first_sight_dist,7.007345092773438
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.002349853515625, -0.00238037109375, -0.002349853515625, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.002288818359375, -0.002288818359375, -0.002349853515625, -0.00238037109375, -0.0023193359375, -0.002227783203125, -0.002166748046875, -0.002227783203125, -0.0023193359375, -0.002227783203125, -0.002105712890625, -0.00201416015625, -0.001922607421875, -0.0018310546875, -0.001739501953125, -0.001617431640625, -0.00152587890625, -0.00140380859375, -0.001312255859375, -0.001220703125, -0.001129150390625, -0.001007080078125, -0.00091552734375, -0.000823974609375, -0.000732421875, -0.000640869140625, -0.000518798828125, -0.00042724609375, -0.000335693359375, -0.000244140625, -0.000152587890625, -3.0517578125e-05, 6.103515625e-05, 0.000152587890625, 0.000244140625, 0.000335693359375, 0.000457763671875, 0.00054931640625, 0.000640869140625, 0.000732421875, 0.000823974609375, 0.000946044921875, 0.00103759765625, 0.001129150390625, 0.001220703125, 0.001312255859375, 0.001434326171875, 0.00152587890625, 0.001617431640625, 0.001708984375, 0.001800537109375, 0.001922607421875, 0.00201416015625, 0.002105712890625, 0.002197265625, 0.002288818359375, 0.002410888671875, 0.00250244140625, 0.002593994140625, 0.00250244140625, 0.00250244140625, 0.00250244140625, 0.002655029296875, 0.00286865234375, 0.003021240234375, 0.00299072265625, 0.0030517578125, 0.003143310546875, 0.003204345703125, 0.003387451171875, 0.0035400390625, 0.0040283203125, 0.004241943359375, 0.00421142578125, 0.0042724609375, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625, 0.004302978515625]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85137939453125, -45.47637939453125, -45.08030700683594, -44.66508483886719, -44.23246765136719, -43.78309631347656, -43.31776428222656, -42.83807373046875, -42.34654235839844, -41.845733642578125, -41.33734130859375, -40.822784423828125, -40.30345153808594, -39.7806396484375, -39.25537109375, -38.72853088378906, -38.20086669921875, -37.672821044921875, -37.14471435546875, -36.616790771484375, -36.08930969238281, -35.562286376953125, -35.035797119140625, -34.509857177734375, -33.98448181152344, -33.45953369140625, -32.93487548828125, -32.410430908203125, -31.886154174804688, -31.361968994140625, -30.837860107421875, -30.313796997070312, -29.78973388671875, -29.265655517578125, -28.741592407226562, -28.21746826171875, -27.693359375, -27.169189453125, -26.64501953125, -26.12078857421875, -25.596572875976562, -25.072357177734375, -24.548126220703125, -24.023849487304688, -23.499588012695312, -22.975311279296875, -22.4510498046875, -21.926773071289062, -21.402511596679688, -20.87823486328125, -20.353973388671875, -19.829696655273438, -19.305450439453125, -18.781173706054688, -18.256912231445312, -17.732635498046875, -17.2083740234375, -16.684097290039062, -16.159835815429688, -15.63555908203125, -15.111297607421875, -14.587020874023438, -14.062774658203125, -13.538497924804688, -13.014236450195312, -12.489959716796875, -11.9656982421875, -11.441421508789062, -10.917160034179688, -10.39288330078125, -9.868621826171875, -9.344345092773438, -8.820831298828125, -8.3026123046875, -7.7950286865234375, -7.30230712890625, -6.8267669677734375, -6.36920166015625, -5.9300384521484375, -5.5091552734375, -5.1062774658203125, -4.7199249267578125, -4.34771728515625, -3.99249267578125, -3.675506591796875, -3.390716552734375, -3.1474151611328125, -2.9695892333984375, -2.8612213134765625, -2.8216705322265625, -2.8199005126953125, -2.819091796875, -2.8182373046875, -2.8174896240234375, -2.81689453125, -2.816436767578125, -2.8160858154296875, -2.8158416748046875, -2.815673828125, -2.815521240234375, -2.8153839111328125, -2.8152923583984375, -2.815216064453125, -2.8151702880859375, -2.8151397705078125, -2.815093994140625, -2.8150787353515625, -2.8150482177734375, -2.815032958984375, -2.8150177001953125, -2.8150177001953125, -2.8150177001953125, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.81500244140625, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125, -2.814971923828125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037266346625983715, 0.0030467133037745953, 0.0024079179856926203, 0.0020075892098248005, 0.002939583035185933, 0.0011671141255646944, 0.001957405125722289, 0.00020745406800415367, 0.0007122260285541415, 0.0010125471744686365, 0.0010013998253270984, 0.0007061228970997036, 0.0005469497991725802, 0.0005168113857507706, 0.000502057489939034, 0.00043690731399692595, 0.00039735689642839134, 0.0010141896782442927, 0.0022780438885092735, 0.0017385735409334302, 0.0011703039053827524, 0.0008181618759408593, 0.0008464351994916797, 0.002826652955263853, 0.0028799783904105425, 0.002278735628351569, 0.0018207681132480502, 0.001547528780065477, 0.0014133264776319265, 0.001352599123492837, 0.0013046467211097479, 0.0012830097693949938, 0.0012802736600860953, 0.0012714107288047671, 0.0012813655193895102, 0.0012802527053281665, 0.0012838193215429783, 0.001265818253159523, 0.0012625883100554347, 0.0013031680136919022, 0.0013078099582344294, 0.0012750166933983564, 0.0012744080740958452, 0.00127260887529701, 0.001269218628294766, 0.001301489886827767, 0.0013062362559139729, 0.0012732967734336853, 0.0012712421594187617, 0.0012649069540202618, 0.001331614563241601, 0.0012929084477946162, 0.0012981463223695755, 0.0013026840751990676, 0.0012601235648617148, 0.0012525124475359917, 0.0013340360019356012, 0.001295160735026002, 0.0012997896410524845, 0.0013043897924944758, 0.0013091068249195814, 0.0012604267103597522, 0.00124987808521837, 0.001326537225395441, 0.0013319446006789804, 0.0012676247861236334, 0.0012652191799134016, 0.0012580598704516888, 0.0013282481813803315, 0.0012935693375766277, 0.0012986933579668403, 0.0013032235438004136, 0.0012670671567320824, 0.0012630310375243425, 0.002851874101907015, 0.004057453945279121, 0.004730377346277237, 0.004657998215407133, 0.0034870945382863283, 0.00259425793774426, 0.0038029130082577467, 0.0051562110893428326, 0.005901322700083256, 0.006324374582618475, 0.0059584761038422585, 0.001573121058754623, 0.008175759576261044, 0.0009708508150652051, -0.0010319194989278913, 0.0009978085290640593, 0.0005617132992483675, 0.0006614189478568733, 2.5591663870727643e-05, 2.4090855731628835e-05, 2.4928413040470332e-05, 2.5141387595795095e-05, 2.5854929845081642e-05, 2.556800791353453e-05, 2.5508068574708886e-05, 2.4958624635473825e-05, 2.5043225832632743e-05, 2.4651251806062646e-05, 2.4669616323080845e-05, 2.460539326420985e-05, 2.4789347662590444e-05, 2.462986776663456e-05, 2.495184526196681e-05, 2.466626392561011e-05, 2.433754525554832e-05, 2.469655009917915e-05, 2.4657063477206975e-05, 2.0416788174770772e-05, 2.426911123620812e-05, 2.4632774511701427e-05, 2.4745724658714607e-05, 2.4681537979631685e-05, 2.4370028768316843e-05, 2.395324372628238e-05, 2.40772951656254e-05, 2.4021155695663765e-05, 2.4402737835771404e-05, 2.433642657706514e-05, 2.4005063096410595e-05, 2.4260505597339943e-05, 2.3824013624107465e-05, 2.4548991859774105e-05, 2.4013221263885498e-05, 2.4362354452023283e-05, 2.383161336183548e-05, 2.417910764052067e-05, 2.4561359168728814e-05, 2.434507041471079e-05, 2.4171806217054836e-05, 2.4286582629429176e-05, 2.4158394808182493e-05, 2.4445018425467424e-05, 0.0, 2.4439579647150822e-05, 2.3801325369277038e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.217828273773193, 7.674166679382324, 8.080647468566895, 8.453201293945312, 8.803285598754883, 9.12765121459961, 9.43553352355957, 9.699063301086426, 9.914688110351562, 10.085664749145508, 10.225116729736328, 10.33761215209961, 10.421414375305176, 10.4828462600708, 10.523097038269043, 10.548348426818848, 10.56029987335205, 10.563328742980957, 10.559457778930664, 10.551774978637695, 10.541810035705566, 10.5321044921875, 10.521306991577148, 10.512717247009277, 10.503288269042969, 10.497190475463867, 10.49122428894043, 10.487906455993652, 10.484393119812012, 10.483194351196289, 10.481382369995117, 10.481568336486816, 10.480783462524414, 10.48171615600586, 10.481416702270508, 10.482635498046875, 10.482467651367188, 10.4837007522583, 10.483473777770996, 10.484589576721191, 10.48422622680664, 10.485194206237793, 10.48469352722168, 10.4855318069458, 10.48492431640625, 10.485671043395996, 10.484994888305664, 10.485692024230957, 10.484977722167969, 10.485650062561035, 10.48492431640625, 10.48559284210205, 10.484865188598633, 10.485536575317383, 10.48481559753418, 10.48549747467041, 10.484786987304688, 10.485475540161133, 10.484771728515625, 10.485466003417969, 10.484764099121094, 10.48546028137207, 10.484763145446777, 10.485462188720703, 10.484764099121094, 10.485466003417969, 10.484769821166992, 10.485469818115234, 10.484771728515625, 10.48547077178955, 10.484773635864258, 10.485471725463867, 10.447345733642578, 10.299901008605957, 10.052197456359863, 9.731487274169922, 9.377227783203125, 9.015141487121582, 8.643750190734863, 8.282164573669434, 7.915562629699707, 7.628457546234131, 7.323332786560059, 6.8292107582092285, 6.0523505210876465, 5.4000773429870605, 4.412047863006592, 3.020167589187622, 1.6344040632247925, 0.26344412565231323, -0.0035358613822609186, -0.005875066854059696, -0.005607090424746275, -0.004653964191675186, -0.0036501511931419373, -0.0027858158573508263, -0.0020960946567356586, -0.0015646993415430188, -0.0011630845256149769, -0.0008624758920632303, -0.0006385029992088675, -0.00047220030683092773, -0.00034905472421087325, -0.00015903424355201423, -0.00019139848882332444, -0.00016890848928596824, -0.00013519282219931483, -0.00010362355533288792, -7.785936759319156e-05, -5.796078039566055e-05, -4.2786148696905e-05, -1.1662249562505167e-05, -2.04157258849591e-05, -1.934398096636869e-05, -1.5802534107933752e-05, -1.2511086424638052e-05, -9.200992280966602e-06, -6.664758529950632e-06, -5.00277201354038e-06, -3.477979362287442e-06, -1.589656108080817e-06, -1.8465510720488965e-06, -1.482687935094873e-06, -1.1916552011825843e-06, -5.615147529169917e-07, -4.261211188349989e-07, -1.9529426253939164e-07, -1.17352465522913e-08, 3.004822133334528e-07, 1.7380428118940472e-07, 3.1419884294336953e-07, 2.472498294991965e-07, 3.232067626868229e-07, 3.570728495105868e-07, 3.618860375809163e-07, 3.979439497925341e-07, 0.0, 5.375698606258084e-07, 4.295998792258615e-07]"
