day_time,day
visibility,fog
ped_type,adult
ego_speed,6.833333333333352
first_sight_dist,7.351491821289063
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9, 9.95, 10.0, 10.05, 10.1, 10.15, 10.2, 10.25]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.0029296875, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.002532958984375, -0.002593994140625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.00244140625, -0.00250244140625, -0.002471923828125, -0.00238037109375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.002410888671875, -0.00238037109375, -0.002288818359375, -0.002197265625, -0.002105712890625, -0.001983642578125, -0.00189208984375, -0.001800537109375, -0.001678466796875, -0.0015869140625, -0.001495361328125, -0.00140380859375, -0.00128173828125, -0.001190185546875, -0.0010986328125, -0.001007080078125, -0.00091552734375, -0.00079345703125, -0.000701904296875, -0.0006103515625, -0.000518798828125, -0.00042724609375, -0.00030517578125, -0.000213623046875, -0.0001220703125, -3.0517578125e-05, 6.103515625e-05, 0.00018310546875, 0.000274658203125, 0.0003662109375, 0.000457763671875, 0.00054931640625, 0.00067138671875, 0.000762939453125, 0.0008544921875, 0.000946044921875, 0.00103759765625, 0.00115966796875, 0.001251220703125, 0.0013427734375, 0.001434326171875, 0.00152587890625, 0.00164794921875, 0.001739501953125, 0.0018310546875, 0.001922607421875, 0.00201416015625, 0.00213623046875, 0.002227783203125, 0.0023193359375, 0.002410888671875, 0.00250244140625, 0.00262451171875, 0.002716064453125, 0.0028076171875, 0.002899169921875, 0.00299072265625, 0.00311279296875, 0.003204345703125, 0.0032958984375, 0.003387451171875, 0.00347900390625, 0.00360107421875, 0.003692626953125, 0.0037841796875, 0.003875732421875, 0.00396728515625, 0.00408935546875, 0.004180908203125, 0.0042724609375, 0.004364013671875, 0.00445556640625, 0.00457763671875, 0.004669189453125, 0.0047607421875, 0.004852294921875, 0.00494384765625, 0.00506591796875, 0.0050048828125, 0.005035400390625, 0.00543212890625, 0.005859375, 0.00604248046875, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.006011962890625, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125, 0.0059814453125]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.654083251953125, -47.37712097167969, -47.09696960449219, -46.81654357910156, -46.53648376464844, -46.238067626953125, -45.90740966796875, -45.55570983886719, -45.19419860839844, -44.83161926269531, -44.46989440917969, -44.10981750488281, -43.75138854980469, -43.39445495605469, -43.03955078125, -42.68653869628906, -42.335693359375, -41.98649597167969, -41.63909912109375, -41.29283142089844, -40.94786071777344, -40.60359191894531, -40.2601318359375, -39.91693115234375, -39.574188232421875, -39.231414794921875, -38.888916015625, -38.546173095703125, -38.20350646972656, -37.86051940917969, -37.51759338378906, -37.174285888671875, -36.831024169921875, -36.48744201660156, -36.1439208984375, -35.80012512207031, -35.45643615722656, -35.112518310546875, -34.76885986328125, -34.425048828125, -34.08149719238281, -33.737762451171875, -33.39422607421875, -33.05047607421875, -32.70695495605469, -32.36320495605469, -32.01963806152344, -31.67596435546875, -31.332534790039062, -30.988876342773438, -30.645431518554688, -30.301773071289062, -29.95831298828125, -29.614669799804688, -29.271209716796875, -28.92755126953125, -28.584091186523438, -28.240447998046875, -27.896987915039062, -27.553329467773438, -27.209884643554688, -26.866226196289062, -26.52276611328125, -26.179122924804688, -25.835662841796875, -25.49200439453125, -25.148544311523438, -24.804901123046875, -24.461441040039062, -24.117782592773438, -23.774337768554688, -23.430679321289062, -23.08721923828125, -22.743576049804688, -22.400115966796875, -22.05645751953125, -21.712997436523438, -21.369354248046875, -21.025894165039062, -20.682235717773438, -20.338790893554688, -19.995132446289062, -19.65167236328125, -19.308029174804688, -18.964569091796875, -18.62091064453125, -18.277450561523438, -17.933807373046875, -17.590347290039062, -17.246688842773438, -16.903244018554688, -16.559585571289062, -16.21612548828125, -15.872482299804688, -15.529022216796875, -15.18536376953125, -14.841903686523438, -14.498260498046875, -14.154800415039062, -13.811141967773438, -13.467697143554688, -13.124038696289062, -12.78057861328125, -12.436935424804688, -12.093475341796875, -11.74981689453125, -11.406356811523438, -11.062713623046875, -10.719253540039062, -10.375595092773438, -10.032150268554688, -9.688491821289062, -9.345626831054688, -9.006576538085938, -8.67529296875, -8.353683471679688, -8.0614013671875, -7.83038330078125, -7.6687774658203125, -7.576324462890625, -7.550506591796875, -7.55023193359375, -7.5494842529296875, -7.5487060546875, -7.548004150390625, -7.5475006103515625, -7.5470733642578125, -7.5467529296875, -7.546539306640625, -7.546417236328125, -7.5462493896484375, -7.5461273193359375, -7.5460357666015625, -7.54595947265625, -7.5459136962890625, -7.545867919921875, -7.5458526611328125, -7.54583740234375, -7.54583740234375, -7.5458221435546875, -7.5457916259765625, -7.5457916259765625, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875, -7.5457763671875]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.010838398709893227, 0.010967056266963482, 0.009141937829554081, 0.007161051034927368, 0.005604825913906097, 0.004153158515691757, 0.003384578740224242, 0.0029794753063470125, 0.0022873925045132637, 0.0019094395684078336, 0.0023720799945294857, 0.0019257391104474664, 0.0011877957731485367, 0.0009776792721822858, 0.0007275663665495813, 0.0005537392571568489, 0.00043512447155080736, 0.0003608624974731356, 0.0003264742554165423, 0.0003003653837367892, 0.0002835145278368145, 0.0002705229271668941, 0.0002727016108110547, 0.0002675023570191115, 0.00026783940847963095, 0.00027102927560918033, 0.00027900817804038525, 0.0002665786014404148, 0.00027665981906466186, 0.0006423454033210874, 0.0018181934719905257, 0.0019676617812365294, 0.001358979963697493, 0.0008839105721563101, 0.0006527531077153981, 0.0005069174221716821, 0.0004778398433700204, 0.0005789658171124756, 0.0020828114356845617, 0.002973101334646344, 0.00223175878636539, 0.001695418730378151, 0.0014216906856745481, 0.001245505060069263, 0.0011725081130862236, 0.0011309647234156728, 0.001122080604545772, 0.0011028751032426953, 0.001111251418478787, 0.001090201665647328, 0.0011130834463983774, 0.0011080928379669785, 0.0011179212015122175, 0.001110364799387753, 0.0011204289039596915, 0.0011125453747808933, 0.001122448593378067, 0.0011138326954096556, 0.0011239106534048915, 0.0011150353820994496, 0.0011244852794334292, 0.0011154375970363617, 0.0011248168302699924, 0.001115972176194191, 0.0011251497780904174, 0.001116194878704846, 0.0011253862176090479, 0.0011161473812535405, 0.0011252100812271237, 0.0011160498252138495, 0.0011252175318077207, 0.0011163686867803335, 0.0011258299928158522, 0.0011164621682837605, 0.001125451410189271, 0.0011164541356265545, 0.0011253663105890155, 0.001116311177611351, 0.001125079463236034, 0.0011165105970576406, 0.0011256220750510693, 0.0011163620511069894, 0.0011251020478084683, 0.0011163745075464249, 0.0011249722447246313, 0.0011160995345562696, 0.0011255070567131042, 0.0011162537848576903, 0.0011253078700974584, 0.0011163057060912251, 0.0011253681732341647, 0.001116317929700017, 0.0011249043745920062, 0.0011159945279359818, 0.0011252140393480659, 0.0011160230496898293, 0.0011252958793193102, 0.0011165235191583633, 0.0011252302210777998, 0.0011159441201016307, 0.0011249604867771268, 0.0011160819558426738, 0.0011252355761826038, 0.0011162160662934184, 0.001125118462368846, 0.0011162766022607684, 0.0011252203257754445, 0.0011159525020048022, 0.0011253003031015396, 0.0011162895243614912, 0.0011252459371462464, 0.001116347499191761, 0.0011388900456950068, 0.001174791483208537, 0.001181951491162181, 0.00125019159168005, 0.0024283379316329956, 0.006626307964324951, 0.01124580204486847, 0.008527828380465508, 0.002073784591630101, 0.00045930620399303734, 0.00027764399419538677, 0.0002741594216786325, 0.0003004972531925887, 0.0003160909400321543, 0.0003178752085659653, 0.0003133748541586101, 0.00030408447491936386, 0.0002944004372693598, 0.0002850010059773922, 0.000277954270131886, 1.6320533177349716e-05, 1.3256742931844201e-05, 1.2254417015356012e-05, 1.1998824447800871e-05, 1.1356956747476943e-05, 1.1745169103960507e-05, 1.1542010724951979e-05, 1.1623184946074616e-05, 1.110536959458841e-05, 1.1864285625051707e-05, 1.1329091648804024e-05, 1.133209025283577e-05, 1.0760314580693375e-05, 1.1380277101125102e-05, 1.1122077012259979e-05, 1.0864026990020648e-05, 1.0641850167303346e-05, 1.1071525477746036e-05, 1.0924860362138133e-05, 1.1412016647227574e-05, 0.0, 1.1265258763160091e-05, 1.1096913112851325e-05, 1.1296644515823573e-05, 1.1197998901479878e-05, 1.1121090210508555e-05, 1.1389403880457394e-05, 1.1058318705181591e-05, 1.0867025594052393e-05, 1.1078938769060187e-05, 1.1157113476656377e-05, 1.1383518540242221e-05, 1.1384729077690281e-05, 1.117663396144053e-05, 1.1135079148516525e-05, 1.113807775254827e-05, 1.1030844689230435e-05, 9.100027455133386e-06, 1.095354491553735e-05, 1.0963231034111232e-05, 1.1157989320054185e-05, 1.1026411812053993e-05, 1.1116973837488331e-05, 1.1149309102620464e-05, 1.1173765415151138e-05, 1.0984726031892933e-05, 1.1114682820334565e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.512546062469482, 5.583420276641846, 5.602427959442139, 5.621115207672119, 5.595640659332275, 6.258143901824951, 6.806072235107422, 7.153201103210449, 7.237810134887695, 7.267529010772705, 7.226437091827393, 7.212223529815674, 7.16044807434082, 7.136348247528076, 7.0786285400390625, 7.052622318267822, 6.9962029457092285, 6.978291988372803, 6.93002986907959, 6.9229607582092285, 6.884164810180664, 6.887479782104492, 6.8571367263793945, 6.868783473968506, 6.8448710441589355, 6.862283229827881, 6.842578411102295, 6.863366603851318, 6.845930576324463, 6.867197513580322, 6.850494861602783, 6.871859550476074, 6.8548712730407715, 6.876680374145508, 6.859370708465576, 6.880696773529053, 6.862781047821045, 6.8834099769592285, 6.86347770690918, 6.88313627243042, 6.862992286682129, 6.882477760314941, 6.863081932067871, 6.882429122924805, 6.862919807434082, 6.882139205932617, 6.862525463104248, 6.881697654724121, 6.862059593200684, 6.881256580352783, 6.861644268035889, 6.880898475646973, 6.861339092254639, 6.880655765533447, 6.861146926879883, 6.880518436431885, 6.861050128936768, 6.880465984344482, 6.861030101776123, 6.880464553833008, 6.8610429763793945, 6.880488872528076, 6.861076354980469, 6.880526542663574, 6.86111307144165, 6.880560874938965, 6.861143589019775, 6.88059139251709, 6.861171722412109, 6.880614280700684, 6.8611907958984375, 6.880626678466797, 6.861199378967285, 6.88062858581543, 6.861199855804443, 6.880630970001221, 6.861202716827393, 6.8806304931640625, 6.861196041107178, 6.880625247955322, 6.8611931800842285, 6.880624294281006, 6.861193656921387, 6.880620956420898, 6.861189842224121, 6.880616188049316, 6.861185073852539, 6.880613803863525, 6.861181259155273, 6.880613803863525, 6.861183166503906, 6.880613803863525, 6.861185550689697, 6.880616188049316, 6.861189842224121, 6.880620956420898, 6.861191272735596, 6.880623817443848, 6.861194133758545, 6.880622386932373, 6.861189842224121, 6.880620002746582, 6.861189842224121, 6.880615234375, 6.86118745803833, 6.880620002746582, 6.861188888549805, 6.880618572235107, 6.8611884117126465, 6.880618572235107, 6.8611884117126465, 6.880617141723633, 6.831340789794922, 6.739389419555664, 6.550464153289795, 6.357910633087158, 5.474984645843506, 4.096181869506836, 2.70560884475708, 1.3213998079299927, 0.13290010392665863, -0.0039336783811450005, -0.005496579688042402, -0.005070141516625881, -0.004151253029704094, -0.003233682131394744, -0.0024586552754044533, -0.001846910105086863, -0.0013783321483060718, -0.00102511839941144, -0.0007609706954099238, -0.0005647861980833113, -0.0004187071172054857, -0.00031063356436789036, -0.00023083182168193161, -0.00017200324509758502, -9.3616392405238e-05, -0.00010132217721547931, -8.756419265409932e-05, -7.024261867627501e-05, -5.48122261534445e-05, -4.238441397319548e-05, -3.274591654189862e-05, -2.5554951207595877e-05, -1.2638456610147841e-05, -1.5594996511936188e-05, -1.4563091099262238e-05, -1.291707121708896e-05, -1.0908990589086898e-05, -9.564160791342147e-06, -8.292868187709246e-06, -7.5354796535975765e-06, 0.0, -6.149764885776676e-06, -6.2086060097499285e-06, -5.908142611588119e-06, -5.774851615569787e-06, -5.450155640573939e-06, -5.27970496477792e-06, -5.328450242814142e-06, -5.017947387386812e-06, -5.024038273404585e-06, -5.069226062914822e-06, -5.158092790225055e-06, -4.843436272494728e-06, -5.035251433582744e-06, -4.939939572068397e-06, -5.012526798964245e-06, -5.015749593439978e-06, -4.724953214463312e-06, -5.009863343730103e-06, -5.03264345752541e-06, -5.034376044932287e-06, -4.9410386964154895e-06, -4.9355999180988874e-06, -4.933383024763316e-06, -4.928000180370873e-06, -4.838705081056105e-06, -4.888474904873874e-06]"
