day_time,night
visibility,fog
ped_type,adult
ego_speed,8.777777777777823
first_sight_dist,6.620489013671875
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.002288818359375, -0.002227783203125, -0.002227783203125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.002349853515625, -0.00238037109375, -0.0023193359375, -0.002227783203125, -0.002166748046875, -0.002166748046875, -0.002197265625, -0.0023193359375, -0.002227783203125, -0.00213623046875, -0.002044677734375, -0.001953125, -0.0018310546875, -0.001739501953125, -0.00164794921875, -0.00152587890625, -0.001434326171875, -0.0013427734375, -0.001251220703125, -0.001129150390625, -0.00103759765625, -0.000946044921875, -0.0008544921875, -0.000762939453125, -0.000640869140625, -0.00054931640625, -0.000457763671875, -0.0003662109375, -0.000274658203125, -0.000152587890625, -6.103515625e-05, 3.0517578125e-05, 0.0001220703125, 0.000213623046875, 0.000335693359375, 0.00042724609375, 0.000518798828125, 0.0006103515625, 0.000701904296875, 0.000823974609375, 0.00091552734375, 0.001007080078125, 0.0010986328125, 0.001190185546875, 0.001312255859375, 0.00140380859375, 0.001495361328125, 0.0015869140625, 0.001678466796875, 0.001800537109375, 0.00189208984375, 0.001983642578125, 0.0020751953125, 0.002166748046875, 0.002288818359375, 0.00238037109375, 0.002471923828125, 0.0025634765625, 0.002655029296875, 0.002777099609375, 0.00286865234375, 0.002960205078125, 0.0030517578125, 0.003143310546875, 0.003265380859375, 0.00335693359375, 0.003448486328125, 0.003570556640625, 0.003570556640625, 0.0035400390625, 0.00360107421875, 0.003631591796875, 0.003753662109375, 0.003936767578125, 0.004058837890625, 0.004150390625, 0.004119873046875, 0.004241943359375, 0.004638671875, 0.005096435546875, 0.00537109375, 0.00543212890625, 0.00543212890625, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.005401611328125, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625, 0.00543212890625]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85137939453125, -45.47660827636719, -45.08226013183594, -44.67259216308594, -44.25474548339844, -43.83247375488281, -43.40611267089844, -42.97602844238281, -42.54328918457031, -42.10841369628906, -41.67216491699219, -41.23481750488281, -40.796966552734375, -40.358673095703125, -39.92041015625, -39.48210144042969, -39.04405212402344, -38.60614013671875, -38.168609619140625, -37.731231689453125, -37.294158935546875, -36.857208251953125, -36.420501708984375, -35.98394775390625, -35.54759216308594, -35.11126708984375, -34.67521667480469, -34.2392578125, -33.803497314453125, -33.36773681640625, -32.93205261230469, -32.49626159667969, -32.060516357421875, -31.624649047851562, -31.1888427734375, -30.752960205078125, -30.317169189453125, -29.88128662109375, -29.44549560546875, -29.009597778320312, -28.573760986328125, -28.137832641601562, -27.701934814453125, -27.265975952148438, -26.830078125, -26.39410400390625, -25.95819091796875, -25.522216796875, -25.086318969726562, -24.650344848632812, -24.214447021484375, -23.77850341796875, -23.342605590820312, -22.90667724609375, -22.470779418945312, -22.034835815429688, -21.59893798828125, -21.163009643554688, -20.727127075195312, -20.291183471679688, -19.855300903320312, -19.41937255859375, -18.983489990234375, -18.54754638671875, -18.111679077148438, -17.675735473632812, -17.239852905273438, -16.803924560546875, -16.3680419921875, -15.932098388671875, -15.496231079101562, -15.060287475585938, -14.624404907226562, -14.1884765625, -13.752593994140625, -13.316650390625, -12.880783081054688, -12.444839477539062, -12.008941650390625, -11.572998046875, -11.137100219726562, -10.701171875, -10.265274047851562, -9.829330444335938, -9.3934326171875, -8.957489013671875, -8.52227783203125, -8.091629028320312, -7.6702728271484375, -7.2614593505859375, -6.867462158203125, -6.4889984130859375, -6.1258392333984375, -5.7763671875, -5.45245361328125, -5.1642913818359375, -4.9085235595703125, -4.7181396484375, -4.5972442626953125, -4.5452880859375, -4.541595458984375, -4.5409088134765625, -4.5400543212890625, -4.539306640625, -4.5386810302734375, -4.538238525390625, -4.537841796875, -4.53759765625, -4.5374298095703125, -4.5372772216796875, -4.537139892578125, -4.5370330810546875, -4.5369415283203125, -4.53692626953125, -4.536895751953125, -4.5368499755859375, -4.536834716796875, -4.5367889404296875, -4.536773681640625, -4.536773681640625, -4.5367584228515625, -4.5367584228515625, -4.5367584228515625, -4.5367584228515625, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375, -4.5367279052734375]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037266346625983715, 0.0030444131698459387, 0.00239973864518106, 0.0018394424114376307, 0.0036385117564350367, 0.0011718395398929715, 0.0012855263194069266, 0.0012306745629757643, 0.0009476960985921323, 0.0006873143138363957, 0.0005821128142997622, 0.0005127693875692785, 0.0004658086400013417, 0.0004236851236782968, 0.0003788759058807045, 0.0003520004393067211, 0.0003340741968713701, 0.00031251294421963394, 0.0003120510373264551, 0.0009468272910453379, 0.002260679379105568, 0.0018062893068417907, 0.0011851395247504115, 0.0008110158960334957, 0.0006473830435425043, 0.0005816830671392381, 0.0022526816464960575, 0.0030248549301177263, 0.002305796602740884, 0.0017825025133788586, 0.0015057458076626062, 0.0013425865909084678, 0.0012716709170490503, 0.0012306811986491084, 0.0012153420830145478, 0.0011977837421000004, 0.0012069084914401174, 0.0011966308811679482, 0.0011972312349826097, 0.0011967396130785346, 0.0011971087660640478, 0.0012038282584398985, 0.001210446236655116, 0.001205685781314969, 0.0012123144697397947, 0.001207359484396875, 0.0012137402081862092, 0.0012091775424778461, 0.0012153228744864464, 0.0012144682696089149, 0.001215343247167766, 0.0012152285780757666, 0.0012161004124209285, 0.0012152300914749503, 0.0012163387145847082, 0.0012157043674960732, 0.001215808792039752, 0.0012152279959991574, 0.0012162883067503572, 0.0012154860887676477, 0.0012162817874923348, 0.0012154263677075505, 0.0012158483732491732, 0.0012151981936767697, 0.0012164628133177757, 0.0012151651317253709, 0.001216206350363791, 0.001215470372699201, 0.0012161030899733305, 0.0012152093695476651, 0.0012158234603703022, 0.0012152532581239939, 0.0012161469785496593, 0.0012153720017522573, 0.0012158893514424562, 0.00121489935554564, 0.0012157890014350414, 0.0012151651317253709, 0.0012161994818598032, 0.0012153577990829945, 0.0012161147315055132, 0.0012151311384513974, 0.0012162330094724894, 0.0012152583803981543, 0.0012162592029199004, 0.0012150302063673735, 0.0012998923193663359, 0.002002030611038208, 0.0034121524076908827, 0.004140082281082869, 0.0045674326829612255, 0.00485610356554389, 0.0030965155456215143, 0.0028026369400322437, 0.0019883790519088507, 0.003923975396901369, 0.008472955785691738, 0.011500552296638489, 0.00997272226959467, 0.004706837236881256, 0.0008894608472473919, 0.0005527836037799716, 0.0004905334208160639, 0.00047928353887982666, 0.0004741773009300232, 0.0004692676302511245, 4.305977199692279e-05, 3.402426591492258e-05, 2.9166862077545375e-05, 2.6677846108214e-05, 2.411980131000746e-05, 2.3453347239410505e-05, 2.2041238480596803e-05, 2.0222216335241683e-05, 2.0692161342594773e-05, 2.0953044440830126e-05, 2.033211239904631e-05, 2.0263678379706107e-05, 2.0647123164962977e-05, 1.978840555239003e-05, 1.991465614992194e-05, 1.8410495613352396e-05, 2.0064897398697212e-05, 1.9301622160128318e-05, 1.9602663087425753e-05, 1.985449307539966e-05, 1.9544213500921614e-05, 1.961682028195355e-05, 1.8938668290502392e-05, 0.0, 1.9497572793625295e-05, 1.979108856176026e-05, 1.994524063775316e-05, 1.9722878278116696e-05, 1.9437669834587723e-05, 1.9658840756164864e-05, 1.9465162040432915e-05, 1.974906808754895e-05, 1.9544177121133544e-05, 1.933719977387227e-05, 1.9466429876047187e-05, 1.9611865354818292e-05, 1.9129029169562273e-05, 1.9744447854463942e-05, 1.961883026524447e-05, 1.94462754734559e-05, 1.601233998371754e-05, 1.9566863556974567e-05, 1.93864107131958e-05, 1.9559412976377644e-05, 1.9621029423433356e-05, 1.9299051928101107e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.217828273773193, 7.663254737854004, 8.025970458984375, 8.292717933654785, 8.402223587036133, 8.49925422668457, 8.566113471984863, 8.634735107421875, 8.673700332641602, 8.717220306396484, 8.733983039855957, 8.758288383483887, 8.759821891784668, 8.771687507629395, 8.76407241821289, 8.76918888092041, 8.757107734680176, 8.759557723999023, 8.74614429473877, 8.747572898864746, 8.734511375427246, 8.736334800720215, 8.724238395690918, 8.72887897491455, 8.718376159667969, 8.72484302520752, 8.714274406433105, 8.720780372619629, 8.711577415466309, 8.719449996948242, 8.711416244506836, 8.71971607208252, 8.711929321289062, 8.720335960388184, 8.712567329406738, 8.720945358276367, 8.713123321533203, 8.721430778503418, 8.713531494140625, 8.721760749816895, 8.713790893554688, 8.721954345703125, 8.71392822265625, 8.72204303741455, 8.713979721069336, 8.722067832946777, 8.713985443115234, 8.72205638885498, 8.713961601257324, 8.722027778625488, 8.713930130004883, 8.721997261047363, 8.713902473449707, 8.721973419189453, 8.713882446289062, 8.721956253051758, 8.7138671875, 8.721944808959961, 8.713859558105469, 8.721940994262695, 8.713857650756836, 8.721940994262695, 8.713860511779785, 8.721943855285645, 8.713861465454102, 8.721943855285645, 8.713860511779785, 8.721943855285645, 8.713860511779785, 8.721942901611328, 8.713862419128418, 8.721945762634277, 8.71386432647705, 8.72194766998291, 8.71386432647705, 8.721948623657227, 8.713866233825684, 8.721949577331543, 8.7138671875, 8.721949577331543, 8.713866233825684, 8.721948623657227, 8.713869094848633, 8.721952438354492, 8.713866233825684, 8.72194766998291, 8.680933952331543, 8.55980110168457, 8.340089797973633, 8.07400131225586, 7.761265277862549, 7.456808090209961, 7.149726390838623, 6.893422603607178, 6.1710944175720215, 5.5620293617248535, 4.666845798492432, 3.2733302116394043, 1.8864250183105469, 0.5094849467277527, -0.0022375055123120546, -0.005498196464031935, -0.005540614482015371, -0.004685740452259779, -0.003706000279635191, -0.0028407881036400795, -0.0021391999907791615, -0.0015995246358215809, -0.0011905725114047527, -0.0008838174981065094, -0.0006550370599143207, -0.0004853947029914707, -0.00035905398544855416, -0.00019143383542541414, -0.0002077129320241511, -0.0001788134395610541, -0.00014198261487763375, -0.0001086530537577346, -8.227526996051893e-05, -6.145652150735259e-05, -4.6118580939946696e-05, -1.8234048184240237e-05, -2.4661290808580816e-05, -2.2920192350284196e-05, -1.8642060240381397e-05, -1.4800531062064692e-05, -1.1519836334628053e-05, -9.245369255950209e-06, -7.214126981125446e-06, 0.0, -3.8822927308501676e-06, -4.145912953390507e-06, -3.7925410651951097e-06, -3.1849554034124594e-06, -2.826209993145312e-06, -2.7650221454678103e-06, -2.3886839244369185e-06, -2.21290611079894e-06, -1.8988270085174008e-06, -2.059200824078289e-06, -1.8304120885659358e-06, -1.9089504803559976e-06, -2.024015429924475e-06, -1.9157398583047325e-06, -1.759650103849708e-06, -1.7579551467861165e-06, -1.6434676126664272e-06, -1.605879447197367e-06, -1.830076712394657e-06, -1.6612838180662948e-06, -1.684576204752375e-06, -1.8835719401977258e-06]"
