day_time,night
visibility,fog
ped_type,child
ego_speed,5.861111111111115
first_sight_dist,5.82602490234375
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45, 9.5, 9.55, 9.6, 9.65, 9.7, 9.75, 9.8, 9.85, 9.9, 9.95, 10.0, 10.05, 10.1, 10.15, 10.2, 10.25, 10.3, 10.35, 10.4, 10.45, 10.5, 10.55, 10.6, 10.65, 10.7, 10.75, 10.8, 10.85, 10.9, 10.95, 11.0, 11.05, 11.1, 11.15, 11.2, 11.25, 11.3, 11.35]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.003265380859375, -0.003021240234375, -0.0029296875, -0.0029296875, -0.0030517578125, -0.003173828125, -0.003173828125, -0.003143310546875, -0.003082275390625, -0.003082275390625, -0.003204345703125, -0.003143310546875, -0.0029296875, -0.00274658203125, -0.002655029296875, -0.0025634765625, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002532958984375, -0.002593994140625, -0.002593994140625, -0.002593994140625, -0.002471923828125, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.00244140625, -0.002471923828125, -0.00250244140625, -0.00250244140625, -0.00244140625, -0.0023193359375, -0.002227783203125, -0.00213623046875, -0.002044677734375, -0.001953125, -0.0018310546875, -0.001739501953125, -0.001617431640625, -0.00152587890625, -0.001434326171875, -0.0013427734375, -0.001251220703125, -0.001129150390625, -0.00103759765625, -0.000946044921875, -0.0008544921875, -0.000762939453125, -0.000640869140625, -0.00054931640625, -0.000457763671875, -0.0003662109375, -0.000274658203125, -0.000152587890625, -6.103515625e-05, 3.0517578125e-05, 0.0001220703125, 0.000213623046875, 0.000335693359375, 0.00042724609375, 0.000518798828125, 0.0006103515625, 0.000701904296875, 0.000823974609375, 0.00091552734375, 0.001007080078125, 0.0010986328125, 0.001190185546875, 0.001312255859375, 0.00140380859375, 0.001495361328125, 0.0015869140625, 0.001678466796875, 0.001800537109375, 0.00189208984375, 0.001983642578125, 0.0020751953125, 0.002166748046875, 0.002288818359375, 0.00238037109375, 0.002471923828125, 0.0025634765625, 0.002655029296875, 0.002777099609375, 0.00286865234375, 0.002960205078125, 0.0030517578125, 0.003143310546875, 0.003265380859375, 0.00335693359375, 0.003448486328125, 0.0035400390625, 0.003631591796875, 0.003753662109375, 0.00384521484375, 0.003936767578125, 0.0040283203125, 0.004119873046875, 0.004241943359375, 0.00433349609375, 0.004425048828125, 0.0045166015625, 0.004608154296875, 0.004730224609375, 0.00482177734375, 0.004913330078125, 0.0050048828125, 0.005096435546875, 0.005218505859375, 0.00531005859375, 0.005401611328125, 0.0054931640625, 0.005584716796875, 0.005706787109375, 0.00579833984375, 0.005889892578125, 0.0059814453125, 0.006072998046875, 0.006195068359375, 0.00628662109375, 0.006378173828125, 0.006439208984375, 0.0064697265625, 0.0064697265625, 0.006561279296875, 0.00665283203125, 0.006622314453125, 0.00653076171875, 0.00634765625, 0.006256103515625, 0.006256103515625, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.00628662109375, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625, 0.006256103515625]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43122863769531, -48.19081115722656, -47.93487548828125, -47.669647216796875, -47.40583801269531, -47.142059326171875, -46.87579345703125, -46.60359191894531, -46.33154296875, -46.05943298339844, -45.78617858886719, -45.5120849609375, -45.23612976074219, -44.95872497558594, -44.67753601074219, -44.386993408203125, -44.097198486328125, -43.80828857421875, -43.52081298828125, -43.234130859375, -42.94891357421875, -42.66459655761719, -42.381561279296875, -42.09901428222656, -41.8173828125, -41.535919189453125, -41.254974365234375, -40.973846435546875, -40.69300842285156, -40.41169738769531, -40.13050842285156, -39.848724365234375, -39.56697082519531, -39.28460693359375, -39.00227355957031, -38.71937561035156, -38.43653869628906, -38.15325927734375, -37.8701171875, -37.58656311035156, -37.303253173828125, -37.019622802734375, -36.73626708984375, -36.45269775390625, -36.16944885253906, -35.88591003417969, -35.60272216796875, -35.31927490234375, -35.036224365234375, -34.753021240234375, -34.47021484375, -34.18719482421875, -33.904571533203125, -33.62165832519531, -33.33905029296875, -33.05615234375, -32.77351379394531, -32.49052429199219, -32.20782470703125, -31.924819946289062, -31.642105102539062, -31.359100341796875, -31.076385498046875, -30.793380737304688, -30.5106201171875, -30.22760009765625, -29.944839477539062, -29.661788940429688, -29.379013061523438, -29.095977783203125, -28.813217163085938, -28.530166625976562, -28.247421264648438, -27.96441650390625, -27.681655883789062, -27.398651123046875, -27.115890502929688, -26.8328857421875, -26.550155639648438, -26.26715087890625, -25.984405517578125, -25.701400756835938, -25.418685913085938, -25.13568115234375, -24.85296630859375, -24.569961547851562, -24.287246704101562, -24.004226684570312, -23.72149658203125, -23.438491821289062, -23.15576171875, -22.87274169921875, -22.589996337890625, -22.306991577148438, -22.02423095703125, -21.741226196289062, -21.458465576171875, -21.175460815429688, -20.892715454101562, -20.609695434570312, -20.326950073242188, -20.0439453125, -19.761184692382812, -19.478179931640625, -19.195419311523438, -18.91241455078125, -18.629669189453125, -18.346649169921875, -18.063919067382812, -17.780914306640625, -17.498184204101562, -17.215164184570312, -16.93243408203125, -16.649429321289062, -16.366668701171875, -16.083663940429688, -15.800918579101562, -15.517898559570312, -15.235153198242188, -14.9521484375, -14.669387817382812, -14.386383056640625, -14.103622436523438, -13.82061767578125, -13.537872314453125, -13.254852294921875, -12.97210693359375, -12.689102172851562, -12.406341552734375, -12.123336791992188, -11.840576171875, -11.557571411132812, -11.27484130859375, -10.991836547851562, -10.709091186523438, -10.42608642578125, -10.143356323242188, -9.8603515625, -9.577606201171875, -9.294601440429688, -9.011871337890625, -8.728866577148438, -8.44610595703125, -8.16302490234375, -7.8807373046875, -7.6015167236328125, -7.335418701171875, -7.1119232177734375, -6.9251708984375, -6.7768707275390625, -6.668243408203125, -6.6166229248046875, -6.6133575439453125, -6.6129302978515625, -6.612274169921875, -6.6117095947265625, -6.61126708984375, -6.61090087890625, -6.610626220703125, -6.610443115234375, -6.6103057861328125, -6.6101531982421875, -6.6100616455078125, -6.609954833984375, -6.609893798828125, -6.60986328125, -6.609832763671875, -6.6098175048828125, -6.60980224609375, -6.6097869873046875, -6.6097564697265625, -6.6097564697265625, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097412109375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375, -6.6097259521484375]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.02761675789952278, 0.001815170282498002, 0.01187578309327364, 0.011481809429824352, 0.010573670268058777, 0.010689929127693176, 0.0053702001459896564, 0.0028933004941791296, 0.0004599613312166184, 0.0006202816730365157, 0.0014633507234975696, 0.0019255067454650998, 0.0018661413341760635, 0.0007088367710821331, -0.000707740371581167, 0.0042082699947059155, 0.0034517969470471144, 0.0035007395781576633, 0.00265561044216156, 0.0012748634908348322, 0.0007104498217813671, 0.0005019567324779928, 0.00043614147580228746, 0.00034101365599781275, 0.0003060518647544086, 0.0002730815904214978, 0.00026504945708438754, 0.00025393578107468784, 0.00025417382130399346, 0.0002486351877450943, 0.00025856957654468715, 0.00025029134121723473, 0.0002617386053316295, 0.0002514910593163222, 0.00026657283888198435, 0.00025309520424343646, 0.00025805551558732986, 0.00025316665414720774, 0.0007175640785135329, 0.0017383754020556808, 0.00204258575104177, 0.0012384405126795173, 0.0009416976245120168, 0.0006632549338974059, 0.00047542373067699373, 0.0003695237683132291, 0.00044465684914030135, 0.0004121085803490132, 0.0010452030692249537, 0.0023340280167758465, 0.0028282683342695236, 0.001986879389733076, 0.0015374082140624523, 0.0012525694910436869, 0.0011312866117805243, 0.0010404213098809123, 0.001042201998643577, 0.0010087181581184268, 0.0010252352803945541, 0.0010046184761449695, 0.0010382740292698145, 0.0010098384227603674, 0.0010443408973515034, 0.0010119505459442735, 0.00103731919080019, 0.001019825111143291, 0.0010536483023315668, 0.0010219858959317207, 0.0010532288579270244, 0.0010190802859142423, 0.0010428172536194324, 0.0010241859126836061, 0.0010574819752946496, 0.001024179277010262, 0.001054641674272716, 0.0010238293325528502, 0.0010562988463789225, 0.0010219269897788763, 0.0010451152920722961, 0.00102619722019881, 0.001055599539540708, 0.001024266122840345, 0.0010563215473666787, 0.001021171803586185, 0.0010568764992058277, 0.0010251444764435291, 0.0010569056030362844, 0.0010224496945738792, 0.001045249868184328, 0.0010268533369526267, 0.0010559454094618559, 0.001024204189889133, 0.0010443058563396335, 0.001025583827868104, 0.0010587128344923258, 0.001025495701469481, 0.0010556819615885615, 0.001024350174702704, 0.0010563717223703861, 0.0010213120840489864, 0.0010445925872772932, 0.0010259296977892518, 0.001059111556969583, 0.0010261042043566704, 0.0010564576368778944, 0.001020946423523128, 0.0010567280696704984, 0.0010252405190840364, 0.0010450431145727634, 0.0010256556561216712, 0.0010588769800961018, 0.0010253821965306997, 0.0010558515787124634, 0.0010247551836073399, 0.0010440353071317077, 0.0010251011699438095, 0.0010586348362267017, 0.001025184988975525, 0.0010559548391029239, 0.0010247832396999002, 0.0010439663892611861, 0.001025378587655723, 0.001057533547282219, 0.0010244060540571809, 0.0010547012789174914, 0.0010240264236927032, 0.0010562763782218099, 0.001021204749122262, 0.0010448063258081675, 0.0010264618322253227, 0.0010552332969382405, 0.0010240498231723905, 0.0010563167743384838, 0.0010216499213129282, 0.0010446039959788322, 0.0010260327253490686, 0.001059012720361352, 0.0010257003596052527, 0.0010560898808762431, 0.0010246435413137078, 0.0010439744219183922, 0.0010252802167087793, 0.0009640005882829428, 0.0018675250466912985, 0.003111460478976369, 0.0034441547468304634, 0.0034616654738783836, 0.00021760871459264308, -0.0007846180233173072, -0.0015206396346911788, -0.0008799234055913985, 0.0019045969238504767, 0.0002544595336075872, 0.00035896230838261545, 0.0003621230134740472, 0.00035250818473286927, 0.0003392719372641295, 0.00032330857357010245, 0.0003087269433308393, 0.0002971867215819657, 0.0002884018758777529, 0.0002803457318805158, 0.00027178291929885745, 0.0002670089015737176, 1.57096055772854e-05, 1.2921746929350775e-05, 9.62885042099515e-06, 1.2030228390358388e-05, 1.2131612493249122e-05, 1.1770762284868397e-05, 1.1782348337874282e-05, 1.1689085113175679e-05, 1.1498574167490005e-05, 1.1346432984282728e-05, 1.0978747013723478e-05, 1.117462306865491e-05, 1.1231396456423681e-05, 1.1143534720758907e-05, 1.1193063073733356e-05, 1.0747759915830102e-05, 1.0669473340385593e-05, 1.0401196959719528e-05, 1.1251661817368586e-05, 1.039355993270874e-05, 1.0911803656199481e-05, 1.1008567526005208e-05, 1.1005065971403383e-05, 1.1455639651103411e-05, 1.09302809505607e-05, 1.0977815691148862e-05, 1.1193640602868982e-05, 0.0, 1.0714754353102762e-05, 1.096349205909064e-05, 1.1274292774032801e-05, 1.0880828085646499e-05, 1.0674762961571105e-05, 1.1056382390961517e-05, 1.0818503142218105e-05, 1.1132396139146294e-05, 1.0775606824608985e-05, 1.111339770432096e-05, 1.1170562174811494e-05, 1.0716654287534766e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.620533466339111, 4.9645514488220215, 5.246850967407227, 5.330991268157959, 5.269598484039307, 5.3047590255737305, 5.4122748374938965, 5.431433200836182, 5.45976448059082, 5.4386396408081055, 5.490143775939941, 5.483242034912109, 5.546661376953125, 5.552236080169678, 5.720970153808594, 5.836430549621582, 5.787014484405518, 5.785624980926514, 5.737220287322998, 5.736125946044922, 5.684462070465088, 5.689674377441406, 5.642727375030518, 5.656405448913574, 5.616408348083496, 5.638608455657959, 5.605193138122559, 5.6342644691467285, 5.60587739944458, 5.63943338394165, 5.614085674285889, 5.649722576141357, 5.6255412101745605, 5.661320209503174, 5.636878490447998, 5.671536922454834, 5.645975112915039, 5.678932189941406, 5.650998592376709, 5.681502342224121, 5.65232515335083, 5.681232929229736, 5.651617527008057, 5.680522918701172, 5.650516986846924, 5.6790642738342285, 5.648806095123291, 5.67722225189209, 5.645698547363281, 5.674147129058838, 5.642130374908447, 5.671183109283447, 5.641037464141846, 5.6704535484313965, 5.640969276428223, 5.670709133148193, 5.641396522521973, 5.671236991882324, 5.641959190368652, 5.671802043914795, 5.642493724822998, 5.672296524047852, 5.642935276031494, 5.672658443450928, 5.64323091506958, 5.672875881195068, 5.643381118774414, 5.67295503616333, 5.643406867980957, 5.67293643951416, 5.643360614776611, 5.672858238220215, 5.643267631530762, 5.672771453857422, 5.643173694610596, 5.672678470611572, 5.643097400665283, 5.672606468200684, 5.643033504486084, 5.672569274902344, 5.643009662628174, 5.672549724578857, 5.6429924964904785, 5.672549247741699, 5.642999649047852, 5.672555923461914, 5.643013000488281, 5.6725754737854, 5.643034934997559, 5.67259407043457, 5.643050193786621, 5.672607421875, 5.643064498901367, 5.672618865966797, 5.643074989318848, 5.672623157501221, 5.643076419830322, 5.6726298332214355, 5.643075466156006, 5.6726226806640625, 5.643073081970215, 5.672612190246582, 5.643063068389893, 5.67261266708374, 5.643060684204102, 5.672607898712158, 5.6430535316467285, 5.67260217666626, 5.643046855926514, 5.672601222991943, 5.643049716949463, 5.672598361968994, 5.643049716949463, 5.672605991363525, 5.643057346343994, 5.672610759735107, 5.643058776855469, 5.67261266708374, 5.643062114715576, 5.672618865966797, 5.643064975738525, 5.672615051269531, 5.643063068389893, 5.672613620758057, 5.6430583000183105, 5.672610282897949, 5.643064498901367, 5.6726202964782715, 5.643067359924316, 5.672614574432373, 5.643060684204102, 5.672605991363525, 5.643052101135254, 5.672607421875, 5.643049716949463, 5.6725969314575195, 5.643049240112305, 5.67259407043457, 5.643046855926514, 5.672605991363525, 5.643052101135254, 5.672605991363525, 5.641971111297607, 5.674898147583008, 5.622272968292236, 5.5546135902404785, 5.008450984954834, 4.203944683074951, 3.4463517665863037, 2.6661489009857178, 1.8387603759765625, 0.5006542801856995, -0.0006442320882342756, -0.003880501026287675, -0.004157588817179203, -0.003573449794203043, -0.0028395545668900013, -0.0021783006377518177, -0.0016429782845079899, -0.0012285070260986686, -0.0009145494550466537, -0.0006793202483095229, -0.0005044598947279155, -0.0003744387940969318, -0.0002779725182335824, -0.00020647136261686683, -6.0239675804041326e-05, -0.00010186675353907049, -9.761180263012648e-05, -8.116876415442675e-05, -6.429122731788084e-05, -4.987135253031738e-05, -3.84211161872372e-05, -2.9672886739717796e-05, -2.3288819647859782e-05, -1.4570578969141934e-05, -1.5520248780376278e-05, -1.4010220183990896e-05, -1.2208260159241036e-05, -1.0499637028260622e-05, -9.078923540073447e-06, -8.029397577047348e-06, -7.207244379969779e-06, -5.617551323666703e-06, -6.019137799739838e-06, -5.7749261941353325e-06, -5.965065156487981e-06, -5.450304342957679e-06, -5.346052148524905e-06, -5.345605131878983e-06, -5.143601356394356e-06, 0.0, -4.9529967327544e-06, -4.901643933408195e-06, -4.9960799515247345e-06, -4.948731202603085e-06, -4.951506525685545e-06, -4.837103006138932e-06, -4.799868747795699e-06, -4.929453098156955e-06, -4.913266820949502e-06, -4.862844889430562e-06, -4.888307103101397e-06, -4.9063005462812725e-06]"
