day_time,day
visibility,fog
ped_type,adult
ego_speed,8.166666666666703
first_sight_dist,6.946294677734375
crash,False
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65, 6.7, 6.75, 6.8, 6.85, 6.9, 6.95, 7.0, 7.05, 7.1, 7.15, 7.2, 7.25, 7.3, 7.35, 7.4, 7.45, 7.5, 7.55, 7.6, 7.65, 7.7, 7.75, 7.8, 7.85, 7.9, 7.95, 8.0, 8.05, 8.1, 8.15, 8.2, 8.25, 8.3, 8.35, 8.4, 8.45, 8.5, 8.55, 8.6, 8.65, 8.7, 8.75, 8.8, 8.85, 8.9, 8.95, 9.0, 9.05, 9.1, 9.15, 9.2, 9.25, 9.3, 9.35, 9.4, 9.45]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.0025634765625, -0.0025634765625, -0.002593994140625, -0.00250244140625, -0.00244140625, -0.002349853515625, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.00238037109375, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002410888671875, -0.002471923828125, -0.002532958984375, -0.00244140625, -0.002349853515625, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.00238037109375, -0.00244140625, -0.002349853515625, -0.00225830078125, -0.002166748046875, -0.002044677734375, -0.001953125, -0.001861572265625, -0.00177001953125, -0.00164794921875, -0.001556396484375, -0.00146484375, -0.0013427734375, -0.001251220703125, -0.00115966796875, -0.001068115234375, -0.0009765625, -0.0008544921875, -0.000762939453125, -0.00067138671875, -0.000579833984375, -0.00048828125, -0.0003662109375, -0.000274658203125, -0.00018310546875, -9.1552734375e-05, 0.0, 0.0001220703125, 0.000213623046875, 0.00030517578125, 0.000396728515625, 0.00048828125, 0.0006103515625, 0.000701904296875, 0.00079345703125, 0.000885009765625, 0.0009765625, 0.0010986328125, 0.001190185546875, 0.00128173828125, 0.001373291015625, 0.00146484375, 0.0015869140625, 0.001678466796875, 0.00177001953125, 0.001861572265625, 0.001953125, 0.0020751953125, 0.002166748046875, 0.00225830078125, 0.002349853515625, 0.00244140625, 0.0025634765625, 0.002655029296875, 0.00274658203125, 0.002838134765625, 0.0029296875, 0.0030517578125, 0.003143310546875, 0.00323486328125, 0.003326416015625, 0.00341796875, 0.0035400390625, 0.003631591796875, 0.00372314453125, 0.003814697265625, 0.003814697265625, 0.003814697265625, 0.003875732421875, 0.003936767578125, 0.003997802734375, 0.004180908203125, 0.004150390625, 0.00390625, 0.003692626953125, 0.003631591796875, 0.003692626953125, 0.003814697265625, 0.003875732421875, 0.003875732421875, 0.003875732421875, 0.003875732421875, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375, 0.00384521484375]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85169982910156, -45.478973388671875, -45.08992004394531, -44.691925048828125, -44.29167175292969, -43.88890075683594, -43.48399353027344, -43.077117919921875, -42.669219970703125, -42.260467529296875, -41.85148620605469, -41.44224548339844, -41.03312683105469, -40.6240234375, -40.21525573730469, -39.806610107421875, -39.39833068847656, -38.99017333984375, -38.58235168457031, -38.17463684082031, -37.767181396484375, -37.35972595214844, -36.95245361328125, -36.545135498046875, -36.13800048828125, -35.73078918457031, -35.323699951171875, -34.916595458984375, -34.50971984863281, -34.102813720703125, -33.696044921875, -33.289154052734375, -32.88240051269531, -32.47550964355469, -32.06874084472656, -31.661849975585938, -31.255035400390625, -30.848114013671875, -30.441299438476562, -30.03436279296875, -29.627532958984375, -29.220596313476562, -28.813766479492188, -28.406829833984375, -28.0, -27.593063354492188, -27.18621826171875, -26.779296875, -26.372451782226562, -25.96551513671875, -25.558685302734375, -25.151748657226562, -24.744918823242188, -24.337982177734375, -23.93115234375, -23.524215698242188, -23.11737060546875, -22.71044921875, -22.303604125976562, -21.89666748046875, -21.489837646484375, -21.082901000976562, -20.676071166992188, -20.269134521484375, -19.8623046875, -19.455368041992188, -19.04852294921875, -18.6416015625, -18.234756469726562, -17.82781982421875, -17.420989990234375, -17.014053344726562, -16.607223510742188, -16.200286865234375, -15.79345703125, -15.386520385742188, -14.97967529296875, -14.57275390625, -14.165908813476562, -13.75897216796875, -13.352142333984375, -12.945205688476562, -12.538375854492188, -12.131439208984375, -11.724609375, -11.317672729492188, -10.910842895507812, -10.50390625, -10.097061157226562, -9.690139770507812, -9.283294677734375, -8.877029418945312, -8.475387573242188, -8.082229614257812, -7.7011260986328125, -7.333740234375, -6.980621337890625, -6.641265869140625, -6.3202362060546875, -6.030364990234375, -5.771484375, -5.5589141845703125, -5.3905181884765625, -5.264801025390625, -5.192108154296875, -5.1804962158203125, -5.1800537109375, -5.179351806640625, -5.1786041259765625, -5.17803955078125, -5.1776123046875, -5.1772613525390625, -5.177001953125, -5.176849365234375, -5.1767120361328125, -5.17657470703125, -5.1764678955078125, -5.1764068603515625, -5.1763458251953125, -5.176300048828125, -5.1762847900390625, -5.17626953125, -5.176239013671875, -5.1762237548828125, -5.17620849609375, -5.17620849609375, -5.17620849609375, -5.17620849609375, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875, -5.1761932373046875]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037237873766571283, 0.003016821341589093, 0.002320237457752228, 0.0012802535202354193, 0.0026739295572042465, 0.0018564584897831082, 0.0014449089067056775, 0.0010327037889510393, 0.000788453733548522, 0.0006515501881949604, 0.0005667960504069924, 0.0004859314067289233, 0.0004238281981088221, 0.0003773638163693249, 0.0003582506615202874, 0.0003294261987321079, 0.0003188939590472728, 0.0003086299111600965, 0.00030228961259126663, 0.0002971490321215242, 0.0008336121682077646, 0.0021178354509174824, 0.0018980827881023288, 0.0012434441596269608, 0.0008379350183531642, 0.0006212746957316995, 0.0005526888417080045, 0.0012854959350079298, 0.0029844678938388824, 0.0026387034449726343, 0.0020078192465007305, 0.0016024576034396887, 0.0013959297211840749, 0.0012754910858348012, 0.0012144821230322123, 0.001190562266856432, 0.0011826138943433762, 0.001168960938230157, 0.0011749182594940066, 0.0011696696747094393, 0.001170943258330226, 0.001175454119220376, 0.001184292952530086, 0.0011743286158889532, 0.0011839153012260795, 0.0011789703276008368, 0.0011859142687171698, 0.001180312130600214, 0.001186763634905219, 0.0011813618475571275, 0.001187790185213089, 0.0011825710535049438, 0.0011888457229360938, 0.00118318444583565, 0.0011893254704773426, 0.0011814984027296305, 0.0011891762260347605, 0.0011829413706436753, 0.0011883236002177, 0.0011828647693619132, 0.0011886185966432095, 0.0011827339185401797, 0.0011886009015142918, 0.0011826108675450087, 0.0011884570121765137, 0.0011827528942376375, 0.001188123831525445, 0.0011825442779809237, 0.0011883181286975741, 0.0011827066773548722, 0.0011885480489581823, 0.0011826189002022147, 0.0011882527032867074, 0.0011821562657132745, 0.0011876474600285292, 0.0011803683592006564, 0.001187774701975286, 0.0011868264991790056, 0.0011890716850757599, 0.0011818109778687358, 0.0011843714164569974, 0.0011865749256685376, 0.0011885982239618897, 0.0011808153940364718, 0.001188853639177978, 0.0011827307753264904, 0.0011885070707648993, 0.0011827320558950305, 0.0011881949612870812, 0.0011825981782749295, 0.0011884388513863087, 0.0011932554189115763, 0.0013014867436140776, 0.002164756413549185, 0.00360014452598989, 0.003991380799561739, 0.004156106151640415, 0.0045323558151721954, 0.0026199258863925934, -0.00111420638859272, -0.005022894125431776, -0.0035820486955344677, 0.0027924180030822754, 0.002368645742535591, 0.003768122987821698, 0.0007071920554153621, 0.0006479831645265222, 0.0006123562925495207, 0.000575860554818064, 0.0005415769410319626, 0.0005156345432624221, 4.844881550525315e-05, 3.844767707050778e-05, 3.3614338462939486e-05, 2.9424018066492863e-05, 2.6937535949400626e-05, 2.4795866920612752e-05, 2.3072174371918663e-05, 2.245992436655797e-05, 1.9924826119677164e-05, 2.16880434891209e-05, 2.170849620597437e-05, 2.0650364604080096e-05, 2.0371973732835613e-05, 2.0107887394260615e-05, 2.0349771148175932e-05, 1.9860714019159786e-05, 0.0, 1.9970684661529958e-05, 1.9570514268707484e-05, 1.9642784536699764e-05, 1.943476490851026e-05, 1.9253193386248313e-05, 1.980103479581885e-05, 1.9284821973997168e-05, 1.9594690456870012e-05, 1.9501223505358212e-05, 1.897219590318855e-05, 1.974854603759013e-05, 1.9197910660295747e-05, 1.9857137885992415e-05, 1.919168971653562e-05, 1.9605531633715145e-05, 1.968298056453932e-05, 1.6205720385187306e-05, 1.9664428691612557e-05, 1.9492916180752218e-05, 1.9769146092585288e-05, 1.954257459146902e-05, 1.9637345758383162e-05, 1.8875896785175428e-05, 1.9689463442773558e-05, 2.0084828065591864e-05, 1.9297189282951877e-05, 1.9467137462925166e-05, 1.926392360473983e-05, 1.9536353647708893e-05]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.203812122344971, 7.602242469787598, 7.888797283172607, 8.000313758850098, 8.035928726196289, 8.094572067260742, 8.12128734588623, 8.157649993896484, 8.164449691772461, 8.185667991638184, 8.179717063903809, 8.191526412963867, 8.178850173950195, 8.186019897460938, 8.170417785644531, 8.17609691619873, 8.159920692443848, 8.165934562683105, 8.150447845458984, 8.157636642456055, 8.1428861618042, 8.150035858154297, 8.136458396911621, 8.145654678344727, 8.133343696594238, 8.143924713134766, 8.132400512695312, 8.143098831176758, 8.13049030303955, 8.141674995422363, 8.130304336547852, 8.141871452331543, 8.13095474243164, 8.142520904541016, 8.131538391113281, 8.142998695373535, 8.131901741027832, 8.143263816833496, 8.132079124450684, 8.143370628356934, 8.132136344909668, 8.143389701843262, 8.132124900817871, 8.143362998962402, 8.132088661193848, 8.143324851989746, 8.132048606872559, 8.14328384399414, 8.132010459899902, 8.143255233764648, 8.131987571716309, 8.143235206604004, 8.131973266601562, 8.14322566986084, 8.131966590881348, 8.14322280883789, 8.131964683532715, 8.14322280883789, 8.131967544555664, 8.143223762512207, 8.13196849822998, 8.143226623535156, 8.131970405578613, 8.143228530883789, 8.131973266601562, 8.143231391906738, 8.131977081298828, 8.143233299255371, 8.131975173950195, 8.143234252929688, 8.131978034973145, 8.14323616027832, 8.131976127624512, 8.143234252929688, 8.131975173950195, 8.143233299255371, 8.131978034973145, 8.143231391906738, 8.131972312927246, 8.143231391906738, 8.131973266601562, 8.143234252929688, 8.131977081298828, 8.14323616027832, 8.131977081298828, 8.143234252929688, 8.131977081298828, 8.143233299255371, 8.131977081298828, 8.143232345581055, 8.131975173950195, 8.109939575195312, 7.974470615386963, 7.78838586807251, 7.51802921295166, 7.2431769371032715, 6.946806907653809, 6.691149711608887, 6.1836700439453125, 5.5828776359558105, 4.823716163635254, 3.906888008117676, 3.0327727794647217, 2.189620018005371, 0.9222695231437683, 0.0008177113486453891, -0.004267383366823196, -0.004940274637192488, -0.004348031710833311, -0.0034919532481580973, -0.0026940754614770412, -0.0020355936139822006, -0.0015237056650221348, -0.0011343357618898153, -0.0008421592065133154, -0.0006241985247470438, -0.0004621914413291961, -0.0003423335438128561, -0.000253586214967072, -9.528436203254387e-05, -0.00013207225129008293, -0.00012070522643625736, -9.816110832616687e-05, -7.619697134941816e-05, -5.792394949821755e-05, -4.3694610212696716e-05, -3.256239870097488e-05, 0.0, -1.5419460396515206e-05, -1.5513040125370026e-05, -1.3172225408197846e-05, -1.0669976290955674e-05, -8.571129001211375e-06, -6.6146531025879085e-06, -5.502449312189128e-06, -4.531033027888043e-06, -2.9011907827225514e-06, -2.955542868221528e-06, -2.883011347876163e-06, -2.75894058177073e-06, -2.5698914214444812e-06, -2.440214075249969e-06, -2.1926221052126493e-06, -1.926953018482891e-06, -1.6654189494147431e-06, -1.735789624035533e-06, -1.813769245018193e-06, -1.7727352314977907e-06, -1.74616457115917e-06, -1.6759614709371817e-06, -1.6560404674237361e-06, -1.801196390260884e-06, -1.583797825333022e-06, -1.4997273183325888e-06, -1.5211384152280516e-06, -1.6297678939736215e-06, -1.5636812804586953e-06]"
