day_time,day
visibility,clear
ped_type,child
ego_speed,10.111111111111176
first_sight_dist,5.592580688476563
crash,True
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.0025634765625, -0.002532958984375, -0.00244140625, -0.00238037109375, -0.0023193359375, -0.002349853515625, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.002288818359375, -0.0023193359375, -0.0023193359375, -0.0023193359375, -0.002410888671875, -0.00238037109375, -0.00225830078125, -0.002197265625, -0.002197265625, -0.00225830078125, -0.0023193359375, -0.002197265625, -0.002105712890625, -0.001983642578125, -0.00189208984375, -0.001800537109375, -0.001708984375, -0.001617431640625, -0.001495361328125, -0.00140380859375, -0.00128173828125, -0.001190185546875, -0.0010986328125, -0.001007080078125, -0.00091552734375, -0.00079345703125, -0.000701904296875, -0.0006103515625, -0.000518798828125, -0.00042724609375, -0.00030517578125, -0.000213623046875, -0.0001220703125, -3.0517578125e-05, 6.103515625e-05, 0.00018310546875, 0.000274658203125, 0.0003662109375, 0.000457763671875, 0.00054931640625, 0.00067138671875, 0.000762939453125, 0.0008544921875, 0.000946044921875, 0.00103759765625, 0.00115966796875, 0.001251220703125, 0.0013427734375, 0.001434326171875, 0.00152587890625, 0.00164794921875, 0.001739501953125, 0.0018310546875, 0.001922607421875, 0.00201416015625, 0.00213623046875, 0.002227783203125, 0.0023193359375, 0.002410888671875, 0.00250244140625, 0.00262451171875, 0.002716064453125, 0.0028076171875, 0.002777099609375, 0.00274658203125, 0.00274658203125, 0.002838134765625, 0.0030517578125, 0.003265380859375, 0.003204345703125, 0.00323486328125, 0.003326416015625, 0.003387451171875, 0.003631591796875, 0.00390625, 0.004119873046875, 0.004302978515625, 0.0045166015625, 0.00408935546875]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85137939453125, -45.47637939453125, -45.08030700683594, -44.66508483886719, -44.232574462890625, -43.784149169921875, -43.32279968261719, -42.85212707519531, -42.37367248535156, -41.88848876953125, -41.39790344238281, -40.90306091308594, -40.40509033203125, -39.90486145019531, -39.40324401855469, -38.90077209472656, -38.39801025390625, -37.89520263671875, -37.392578125, -36.890228271484375, -36.38832092285156, -35.88685607910156, -35.38584899902344, -34.88526916503906, -34.38519287109375, -33.885498046875, -33.3861083984375, -32.88682556152344, -32.38771057128906, -31.888641357421875, -31.389617919921875, -30.890640258789062, -30.391677856445312, -29.89263916015625, -29.39361572265625, -28.89453125, -28.395462036132812, -27.896347045898438, -27.397201538085938, -26.898025512695312, -26.39886474609375, -25.899688720703125, -25.400527954101562, -24.901336669921875, -24.402175903320312, -23.902999877929688, -23.403839111328125, -22.9046630859375, -22.405502319335938, -21.906326293945312, -21.40716552734375, -20.907989501953125, -20.408828735351562, -19.909637451171875, -19.410476684570312, -18.911300659179688, -18.412139892578125, -17.9129638671875, -17.413803100585938, -16.914627075195312, -16.41546630859375, -15.916290283203125, -15.417129516601562, -14.917938232421875, -14.418777465820312, -13.919601440429688, -13.420440673828125, -12.9212646484375, -12.422103881835938, -11.922927856445312, -11.42376708984375, -10.924591064453125, -10.425430297851562, -9.926239013671875, -9.427078247070312, -8.927902221679688, -8.428741455078125, -7.9295806884765625, -7.4312286376953125, -6.9379119873046875, -6.454803466796875, -5.9859466552734375, -5.53363037109375, -5.0984649658203125, -4.6810150146484375, -4.281219482421875, -3.897216796875, -3.526947021484375, -3.177337646484375, -2.8670654296875, -2.5864410400390625, -2.3462677001953125, -2.1641387939453125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037266346625983715, 0.0030467133037745953, 0.0024079179856926203, 0.0020075892098248005, 0.002936362521722913, 0.0010981102241203189, 0.002035277197137475, 0.00045336244511418045, 0.0008369098650291562, 0.0010797944851219654, 0.0008430860470980406, 0.0005912769120186567, 0.0005121344001963735, 0.0004922594525851309, 0.0004724727477878332, 0.000399441720219329, 0.00036992880632169545, 0.00046025175834074616, 0.0019410490058362484, 0.001999191241338849, 0.0013893615687265992, 0.0009254733449779451, 0.0007066239486448467, 0.0013060537166893482, 0.003129273885861039, 0.0027167077641934156, 0.002120500896126032, 0.001693126978352666, 0.0014656507410109043, 0.001362315844744444, 0.0013120853109285235, 0.0012764260172843933, 0.0012667980045080185, 0.0012510746018961072, 0.0012494315160438418, 0.0012519320007413626, 0.0012513379333540797, 0.0012643858790397644, 0.0012677079066634178, 0.0012588974786922336, 0.0012595244916155934, 0.0012580693000927567, 0.0012561952462419868, 0.0012830523774027824, 0.0012877850094810128, 0.0012558173621073365, 0.0012553570559248328, 0.0012516709975898266, 0.0012894502142444253, 0.0012930798111483455, 0.0012562018819153309, 0.0012555846478790045, 0.0012499726144596934, 0.0012866392498835921, 0.0012906135525554419, 0.0012552649714052677, 0.001253925496712327, 0.001249815453775227, 0.0012891350779682398, 0.0012923612957820296, 0.0012551317922770977, 0.0012541520409286022, 0.0012494679540395737, 0.001286510843783617, 0.0012903634924441576, 0.0012573908315971494, 0.0012561877956613898, 0.001252194750122726, 0.0012900879373773932, 0.0012937006540596485, 0.0012565182987600565, 0.0012554323766380548, 0.0012498334981501102, 0.0012865233002230525, 0.0012904369505122304, 0.0012550491373986006, 0.001325056771747768, 0.002584851114079356, 0.003984655253589153, 0.004701194819062948, 0.0053688278421759605, 0.003983388189226389, 0.0028325298335403204, 0.003854763926938176, 0.005100863985717297, 0.006063429173082113, 0.006753287278115749, 0.005982375703752041, 0.004872304853051901, 0.0033220883924514055, 0.00317280157469213, 0.003892198670655489, -0.00989882368594408]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.217828273773193, 7.674166679382324, 8.080647468566895, 8.453201293945312, 8.798660278320312, 9.09274959564209, 9.317181587219238, 9.486303329467773, 9.629393577575684, 9.756010055541992, 9.851789474487305, 9.930082321166992, 9.982290267944336, 10.021858215332031, 10.042448043823242, 10.056333541870117, 10.05764102935791, 10.056836128234863, 10.048324584960938, 10.040760040283203, 10.02901840209961, 10.021761894226074, 10.01088809967041, 10.00536823272705, 9.995561599731445, 9.992542266845703, 9.985912322998047, 9.985367774963379, 9.980960845947266, 9.982152938842773, 9.979080200195312, 9.981321334838867, 9.978994369506836, 9.981759071350098, 9.979753494262695, 9.98269271850586, 9.980746269226074, 9.983654022216797, 9.981626510620117, 9.984416961669922, 9.98226547241211, 9.984920501708984, 9.982645034790039, 9.985190391540527, 9.982824325561523, 9.985294342041016, 9.982871055603027, 9.985297203063965, 9.9828462600708, 9.98525333404541, 9.982793807983398, 9.985198974609375, 9.98274040222168, 9.985151290893555, 9.982698440551758, 9.985114097595215, 9.98266887664795, 9.98509407043457, 9.982654571533203, 9.985084533691406, 9.982649803161621, 9.985082626342773, 9.982649803161621, 9.985085487365723, 9.982653617858887, 9.985089302062988, 9.982657432556152, 9.98509407043457, 9.98266315460205, 9.98509693145752, 9.98266315460205, 9.985098838806152, 9.982664108276367, 9.985097885131836, 9.98266315460205, 9.985097885131836, 9.98281478881836, 9.985774040222168, 9.947370529174805, 9.807915687561035, 9.567188262939453, 9.262356758117676, 8.920400619506836, 8.57260513305664, 8.211593627929688, 7.862739562988281, 7.564695835113525, 7.304244041442871, 6.680616855621338, 5.936248779296875, 5.422679901123047, 4.340299606323242, 3.2045040130615234]"
