day_time,night
visibility,fog
ped_type,child
ego_speed,9.055555555555605
first_sight_dist,3.311712158203125
crash,True
time,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5, 0.55, 0.6, 0.65, 0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 1.0, 1.05, 1.1, 1.15, 1.2, 1.25, 1.3, 1.35, 1.4, 1.45, 1.5, 1.55, 1.6, 1.65, 1.7, 1.75, 1.8, 1.85, 1.9, 1.95, 2.0, 2.05, 2.1, 2.15, 2.2, 2.25, 2.3, 2.35, 2.4, 2.45, 2.5, 2.55, 2.6, 2.65, 2.7, 2.75, 2.8, 2.85, 2.9, 2.95, 3.0, 3.05, 3.1, 3.15, 3.2, 3.25, 3.3, 3.35, 3.4, 3.45, 3.5, 3.55, 3.6, 3.65, 3.7, 3.75, 3.8, 3.85, 3.9, 3.95, 4.0, 4.05, 4.1, 4.15, 4.2, 4.25, 4.3, 4.35, 4.4, 4.45, 4.5, 4.55, 4.6, 4.65, 4.7, 4.75, 4.8, 4.85, 4.9, 4.95, 5.0, 5.05, 5.1, 5.15, 5.2, 5.25, 5.3, 5.35, 5.4, 5.45, 5.5, 5.55, 5.6, 5.65, 5.7, 5.75, 5.8, 5.85, 5.9, 5.95, 6.0, 6.05, 6.1, 6.15, 6.2, 6.25, 6.3, 6.35, 6.4, 6.45, 6.5, 6.55, 6.6, 6.65]"
ego_x,"[-3.0517578125e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000152587890625, -0.000152587890625, 0.0001220703125, 0.000335693359375, 0.000244140625, 0.000396728515625, 0.0003662109375, 0.0003662109375, 0.0003662109375, -0.00067138671875, 0.0001220703125, -0.002044677734375, -0.0030517578125, -0.0032958984375, -0.0032958984375, -0.00323486328125, -0.003082275390625, -0.002960205078125, -0.00286865234375, -0.002777099609375, -0.002716064453125, -0.002593994140625, -0.002593994140625, -0.0025634765625, -0.00250244140625, -0.00244140625, -0.00238037109375, -0.002288818359375, -0.002227783203125, -0.002227783203125, -0.002227783203125, -0.002227783203125, -0.002227783203125, -0.002227783203125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.00225830078125, -0.002349853515625, -0.002349853515625, -0.00225830078125, -0.002166748046875, -0.002166748046875, -0.002166748046875, -0.00225830078125, -0.00225830078125, -0.002166748046875, -0.002044677734375, -0.001953125, -0.001861572265625, -0.00177001953125, -0.001678466796875, -0.001556396484375, -0.00146484375, -0.0013427734375, -0.001251220703125, -0.00115966796875, -0.001068115234375, -0.0009765625, -0.0008544921875, -0.000762939453125, -0.00067138671875, -0.000579833984375, -0.00048828125, -0.0003662109375, -0.000274658203125, -0.00018310546875, -9.1552734375e-05, 0.0, 0.0001220703125, 0.000213623046875, 0.00030517578125, 0.000396728515625, 0.00048828125, 0.0006103515625, 0.000701904296875, 0.00079345703125, 0.000885009765625, 0.0009765625, 0.0010986328125, 0.001190185546875, 0.00128173828125, 0.001373291015625, 0.00146484375, 0.0015869140625, 0.001678466796875, 0.00177001953125, 0.001861572265625, 0.001953125, 0.0020751953125, 0.002166748046875, 0.00225830078125, 0.002349853515625, 0.00244140625, 0.0025634765625, 0.002655029296875, 0.00274658203125, 0.002838134765625, 0.0029296875, 0.0030517578125, 0.003143310546875, 0.00323486328125, 0.003326416015625, 0.00341796875, 0.003387451171875, 0.003387451171875, 0.003387451171875, 0.003448486328125, 0.003662109375, 0.003875732421875, 0.003875732421875, 0.003875732421875, 0.003936767578125, 0.0040283203125, 0.004302978515625, 0.004608154296875, 0.004852294921875, 0.005035400390625, 0.005218505859375, 0.004241943359375]"
ego_y,"[-49.983978271484375, -49.97911071777344, -49.97892761230469, -49.97999572753906, -49.98161315917969, -49.983154296875, -49.98475646972656, -49.98619079589844, -49.98765563964844, -49.98893737792969, -49.99028015136719, -49.97886657714844, -49.940582275390625, -49.88462829589844, -49.81263732910156, -49.7254638671875, -49.622711181640625, -49.503692626953125, -49.3656005859375, -49.20672607421875, -49.02745056152344, -48.85394287109375, -48.653045654296875, -48.43107604980469, -48.18931579589844, -47.92860412597656, -47.653839111328125, -47.375732421875, -47.09434509277344, -46.81303405761719, -46.52473449707031, -46.20237731933594, -45.85137939453125, -45.47639465332031, -45.080718994140625, -44.66790771484375, -44.24311828613281, -43.812164306640625, -43.37629699707031, -42.93597412109375, -42.492218017578125, -42.04576110839844, -41.59733581542969, -41.147430419921875, -40.69664001464844, -40.24522399902344, -39.79364013671875, -39.341949462890625, -38.89045715332031, -38.43907165527344, -37.98808288574219, -37.53724670410156, -37.08673095703125, -36.63641357421875, -36.18644714355469, -35.73655700683594, -35.28692626953125, -34.83746337890625, -34.38825988769531, -33.939178466796875, -33.49024963378906, -33.04124450683594, -32.592315673828125, -32.143310546875, -31.69439697265625, -31.245391845703125, -30.796401977539062, -30.347335815429688, -29.898361206054688, -29.449295043945312, -29.000274658203125, -28.551162719726562, -28.102127075195312, -27.65301513671875, -27.2039794921875, -26.7548828125, -26.305831909179688, -25.856735229492188, -25.407684326171875, -24.958587646484375, -24.509552001953125, -24.060440063476562, -23.611404418945312, -23.16229248046875, -22.7132568359375, -22.26416015625, -21.815109252929688, -21.366012573242188, -20.916961669921875, -20.467864990234375, -20.018829345703125, -19.569717407226562, -19.120681762695312, -18.67156982421875, -18.2225341796875, -17.7734375, -17.324386596679688, -16.875289916992188, -16.426239013671875, -15.977142333984375, -15.528106689453125, -15.078994750976562, -14.629959106445312, -14.18084716796875, -13.7318115234375, -13.28271484375, -12.833663940429688, -12.384567260742188, -11.935516357421875, -11.486419677734375, -11.037384033203125, -10.588272094726562, -10.139236450195312, -9.690139770507812, -9.2410888671875, -8.7919921875, -8.342926025390625, -7.893829345703125, -7.444793701171875, -6.9957122802734375, -6.5467071533203125, -6.0976715087890625, -5.648712158203125, -5.2003326416015625, -4.7566986083984375, -4.3222808837890625, -3.90093994140625, -3.4945526123046875, -3.1041717529296875, -2.729156494140625, -2.368316650390625, -2.0240325927734375, -1.7228546142578125]"
ego_v_x,"[9.194875747198239e-05, -0.00011044355051126331, -5.298122050589882e-05, -1.4447398825723212e-05, 2.7533594675333006e-06, 7.079844635882182e-06, 7.966780685819685e-06, 6.580012268386781e-06, 4.807299774256535e-06, 3.9290594031626824e-06, 3.0744195100851357e-06, -2.1096091131767025e-06, -0.00030804896960034966, 0.0012973828706890345, 0.004915036726742983, 0.0012617346365004778, -0.00122792087495327, 0.002501233946532011, -0.0010328375501558185, 0.0006210330175235868, 0.00041351126856170595, -0.024373916909098625, -0.06500199437141418, -0.027730710804462433, 0.0015094137052074075, 0.011650700122117996, 0.0108915651217103, 0.010959882289171219, 0.009341089054942131, 0.006659983657300472, 0.005604767706245184, 0.004424174316227436, 0.0037266346625983715, 0.0030466648750007153, 0.00240492494776845, 0.001976556843146682, 0.0030258556362241507, 0.0011309185065329075, 0.0013467882527038455, 0.001316663110628724, 0.0010224812431260943, 0.0007340341689996421, 0.0006061952444724739, 0.00052954739658162, 0.0004838847671635449, 0.0004257315304130316, 0.0003967483644373715, 0.00035402298090048134, 0.00034178560599684715, 0.00031263864366337657, 0.00033206617808900774, 0.0015120342141017318, 0.002232986269518733, 0.0015066961059346795, 0.0010150916641578078, 0.0007104166434146464, 0.000609055336099118, 0.0015893346862867475, 0.003125580959022045, 0.0025824957992881536, 0.0019964950624853373, 0.0016050423728302121, 0.0013868488604202867, 0.0012936471030116081, 0.0012564562493935227, 0.0012188414111733437, 0.0012137078447267413, 0.0012018714332953095, 0.0012091327225789428, 0.0011975738452747464, 0.0011959365801885724, 0.0012249533319845796, 0.0012293473118916154, 0.0012103343615308404, 0.001220301492139697, 0.0012162671191617846, 0.0012226203689351678, 0.0012183223152533174, 0.001224297913722694, 0.0012196871684864163, 0.0012252258602529764, 0.0012203127844259143, 0.0012258845381438732, 0.0012208878761157393, 0.001226126798428595, 0.0012210713466629386, 0.0012261344818398356, 0.0012210151180624962, 0.0012265804689377546, 0.0012210309505462646, 0.0012266470585018396, 0.001221231883391738, 0.0012264038668945432, 0.001220993115566671, 0.0012262703385204077, 0.0012212299043312669, 0.001226453692652285, 0.0012210833374410868, 0.0012261855881661177, 0.0012208925327286124, 0.0012262038653716445, 0.001220775069668889, 0.0012263237731531262, 0.001221052254550159, 0.0012263160897418857, 0.0012210243148729205, 0.0012263605603948236, 0.0012209548149257898, 0.0012267299462109804, 0.0012212350266054273, 0.001226432854309678, 0.0012210842687636614, 0.0012262879172340035, 0.0012214545859023929, 0.0012263626558706164, 0.0012207009131088853, 0.0012268874561414123, 0.0028162654489278793, 0.003962268121540546, 0.004437699913978577, 0.0049745612777769566, 0.0038395486772060394, 0.003030115971341729, 0.003594217821955681, 0.005361498333513737, 0.00649360753595829, 0.007338094059377909, 0.006308240815997124, 0.005158980377018452, 0.00456223776564002, 0.004131023306399584, 0.003866674844175577, -0.020783280953764915]"
ego_v_y,"[-0.031128086149692535, -0.010238958522677422, -0.032238684594631195, -0.01869678869843483, -0.027603304013609886, -0.02012694999575615, -0.02704440802335739, -0.020359503105282784, -0.027064813300967216, -0.02037668414413929, -0.027133779600262642, 0.44935858249664307, 0.9636839032173157, 1.2469291687011719, 1.5510526895523071, 1.8803547620773315, 2.174077272415161, 2.518178939819336, 2.920400619506836, 3.342332363128662, 3.739258289337158, 3.8166756629943848, 4.228590488433838, 4.628610610961914, 5.009710788726807, 5.379037380218506, 5.521258354187012, 5.616354465484619, 5.6173553466796875, 5.639374256134033, 6.039496421813965, 6.684703350067139, 7.217828273773193, 7.673338413238525, 8.063773155212402, 8.377400398254395, 8.576216697692871, 8.679444313049316, 8.762674331665039, 8.845780372619629, 8.899697303771973, 8.953959465026855, 8.981619834899902, 9.012334823608398, 9.020818710327148, 9.035467147827148, 9.031808853149414, 9.037192344665527, 9.027158737182617, 9.028396606445312, 9.016240119934082, 9.015386581420898, 9.00223445892334, 9.002604484558105, 8.99117374420166, 8.993878364562988, 8.984143257141113, 8.98793888092041, 8.978263854980469, 8.983745574951172, 8.976069450378418, 8.982515335083008, 8.97573184967041, 8.982644081115723, 8.976137161254883, 8.983203887939453, 8.976757049560547, 8.983832359313965, 8.977355003356934, 8.984370231628418, 8.977823257446289, 8.984759330749512, 8.978137969970703, 8.984999656677246, 8.978312492370605, 8.985119819641113, 8.978385925292969, 8.985156059265137, 8.97839641571045, 8.985147476196289, 8.978373527526855, 8.985116958618164, 8.97834300994873, 8.985085487365723, 8.978310585021973, 8.985055923461914, 8.978287696838379, 8.985037803649902, 8.978273391723633, 8.985027313232422, 8.978265762329102, 8.985023498535156, 8.978263854980469, 8.985023498535156, 8.978262901306152, 8.985024452209473, 8.978266716003418, 8.985026359558105, 8.97826862335205, 8.985028266906738, 8.978270530700684, 8.985028266906738, 8.97826862335205, 8.985030174255371, 8.978269577026367, 8.985029220581055, 8.97826862335205, 8.985029220581055, 8.978270530700684, 8.985028266906738, 8.978270530700684, 8.985029220581055, 8.978271484375, 8.985030174255371, 8.978270530700684, 8.985031127929688, 8.978890419006348, 8.986726760864258, 8.979994773864746, 8.986745834350586, 8.980266571044922, 8.988210678100586, 8.981246948242188, 8.953560829162598, 8.814364433288574, 8.605164527893066, 8.316965103149414, 8.011566162109375, 7.678581237792969, 7.401725769042969, 7.096961498260498, 6.621225833892822, 5.705926895141602]"
